Temperature,Simulations,Return,Discounted Return,Map
1,89,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HHHF', 'FFHG']"
1,5,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HHFG']"
1,37,0,1.0,0.9502058312852957,"['SFHH', 'FFFH', 'HHFF', 'HHFG']"
1,66,0,1.0,0.9248559951318693,"['SFFF', 'FHHH', 'FHHF', 'FFFG']"
1,16,0,0.0,0.0,"['SHHH', 'FFFF', 'HFHF', 'HFFG']"
1,76,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'HHFF', 'FHFG']"
1,78,0,1.0,0.8006481694852418,"['SFHF', 'FHFH', 'FFFF', 'FFHG']"
1,23,0,1.0,0.9416796087056153,"['SFHH', 'HFFH', 'FFFF', 'HFFG']"
1,41,0,1.0,0.9530650263643888,"['SFFH', 'HFFF', 'FHFF', 'FHHG']"
1,33,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFH', 'FHFG']"
1,98,0,1.0,0.9645880999032158,"['SHFH', 'FHFF', 'FFFF', 'HHHG']"
1,97,0,1.0,0.9304302024748964,"['SFFH', 'FHFH', 'FFFH', 'FHFG']"
1,65,0,1.0,0.9445131481500655,"['SHFF', 'FHFF', 'FHHH', 'FFFG']"
1,65,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'FFFF', 'HHHG']"
1,50,0,1.0,0.9588092525966956,"['SFFF', 'FFHF', 'FHFF', 'HHFG']"
1,18,0,1.0,0.93603800616986,"['SFFF', 'FFFF', 'FFHF', 'HHHG']"
1,50,0,1.0,0.8527925358961662,"['SHHH', 'FFFF', 'HHFF', 'FFFG']"
1,64,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'FHFG']"
1,62,0,1.0,0.8894287717672626,"['SHHH', 'FFFH', 'FFFF', 'FHHG']"
1,72,0,1.0,0.9704017769489168,"['SFFH', 'HFFF', 'HHFH', 'HFFG']"
1,26,0,0.0,0.0,"['SFFF', 'HFHH', 'HFHH', 'HFFG']"
1,24,0,1.0,0.9304302024748964,"['SFFF', 'HFHH', 'FFFF', 'HFFG']"
1,23,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HHFG']"
1,95,0,1.0,0.9473552137914398,"['SFFH', 'FFHH', 'FHFF', 'FFFG']"
1,35,0,0.0,0.0,"['SFHH', 'FHHF', 'FFHH', 'HFFG']"
1,29,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FHHF', 'HHHG']"
1,59,0,1.0,0.8921050870283477,"['SFFH', 'HHFH', 'HHFF', 'HFHG']"
1,52,0,1.0,0.8476834558136123,"['SFFH', 'HHFH', 'HHFF', 'FFHG']"
1,79,0,1.0,0.9674905716180701,"['SHHF', 'FFFH', 'FFFF', 'HHHG']"
1,10,0,1.0,0.857932408958235,"['SFFF', 'FHFF', 'FFFF', 'FFHG']"
1,44,0,1.0,0.9588092525966956,"['SHHF', 'FHFH', 'FFFF', 'HFFG']"
1,26,0,1.0,0.9704017769489168,"['SHHF', 'FFHF', 'FFFF', 'HHFG']"
1,62,0,1.0,0.9674905716180701,"['SFFF', 'HHFF', 'FHHF', 'HHHG']"
1,6,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFH', 'HFFG']"
1,4,0,1.0,0.9220814271464737,"['SFFF', 'FFFF', 'FHFF', 'HFHG']"
1,4,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SFFF', 'FHFH', 'HFFF', 'FFHG']"
1,55,0,1.0,0.9674905716180701,"['SFFF', 'FFHH', 'HFHF', 'HFFG']"
1,49,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFH', 'FHFG']"
1,7,0,1.0,0.860513950810667,"['SFFF', 'HFFH', 'HFFH', 'HFFG']"
1,90,0,1.0,0.9388545698794984,"['SHFF', 'FFHH', 'HFFH', 'FFFG']"
1,22,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'HHFG']"
1,56,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHF', 'HFFG']"
1,82,0,1.0,0.90289112180858,"['SFHH', 'FFFH', 'HHFF', 'HHHG']"
1,11,0,0.0,0.0,"['SFFF', 'HHFH', 'FFFH', 'HFFG']"
1,38,0,1.0,0.9559328248389055,"['SFFF', 'FFHH', 'FFFF', 'HHHG']"
1,88,0,1.0,0.9704017769489168,"['SFHH', 'FHHH', 'FFFF', 'HFFG']"
1,46,0,1.0,0.90289112180858,"['SFFF', 'FFFH', 'FFFH', 'HHFG']"
1,96,0,1.0,0.767668872977057,"['SFHF', 'HFFF', 'HHFH', 'FFFG']"
1,25,0,1.0,0.9559328248389055,"['SFFH', 'HHFF', 'HFFF', 'HHFG']"
1,19,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'HHFF', 'HHFG']"
1,50,0,1.0,0.9530650263643888,"['SFFH', 'FFFH', 'HHFH', 'FHFG']"
1,31,0,1.0,0.9416796087056153,"['SHHH', 'FFFF', 'FHFF', 'FHFG']"
1,6,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHH', 'HFFG']"
1,36,0,1.0,0.985089730404757,"['SHHH', 'FFFH', 'HFFF', 'HFFG']"
1,65,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'FFFF', 'HFHG']"
1,67,0,1.0,0.9791880578299021,"['SFFH', 'FFHH', 'HFFF', 'HFFG']"
1,76,0,0.0,0.0,"['SFFF', 'FFHF', 'HFFH', 'FHFG']"
1,54,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'FFHF', 'HFFG']"
1,90,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFFF', 'FFHG']"
1,75,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HFHF', 'HHHG']"
1,56,0,1.0,0.9616943356035061,"['SFHF', 'HFFH', 'FFFF', 'FFFG']"
1,42,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HHFF', 'HFFG']"
1,86,0,1.0,0.9388545698794984,"['SFFF', 'HHFF', 'FHFH', 'HFFG']"
1,24,0,1.0,0.9416796087056153,"['SFFF', 'HHFF', 'FHHF', 'FFHG']"
1,94,0,1.0,0.9674905716180701,"['SFHF', 'FFFF', 'FHHF', 'FFFG']"
1,59,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'FFHG']"
1,28,0,0.0,0.0,"['SFHF', 'FFHH', 'FFHH', 'HFFG']"
1,15,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'HHFG']"
1,78,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,82,0,1.0,0.9502058312852957,"['SHFH', 'FFFF', 'FHHF', 'FFHG']"
1,84,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'FFFF', 'FFHG']"
1,51,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'HFHG']"
1,54,0,1.0,0.9588092525966956,"['SFHF', 'HFFF', 'FFHF', 'FFFG']"
1,58,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFH', 'FHFG']"
1,42,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'FHFG']"
1,32,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'FFHG']"
1,30,0,1.0,0.9559328248389055,"['SFFF', 'FHFH', 'FFFH', 'FFFG']"
1,44,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FHFH', 'FFFG']"
1,42,0,1.0,0.9704017769489168,"['SFFH', 'FHFH', 'HFFF', 'HFHG']"
1,50,0,1.0,0.9674905716180701,"['SFFF', 'FFFH', 'HFFF', 'FFHG']"
1,32,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FHHG']"
1,65,0,1.0,0.9248559951318693,"['SFFF', 'FHHH', 'FHFF', 'FFFG']"
1,54,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFH', 'HHFG']"
1,19,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HHHG']"
1,35,0,1.0,0.9304302024748964,"['SFFH', 'HFFH', 'HHFH', 'HHFG']"
1,83,0,1.0,0.9616943356035061,"['SFFF', 'FHHF', 'HHFF', 'HFFG']"
1,51,0,1.0,0.7699788094052729,"['SFFF', 'FHFH', 'HHFF', 'HHHG']"
1,27,0,1.0,0.7863441585589971,"['SHFH', 'FFFH', 'HFFH', 'HFFG']"
1,30,0,0.0,0.0,"['SHHH', 'FHHF', 'FFFH', 'FHFG']"
1,4,0,0.0,0.0,"['SFHF', 'HFFF', 'FHHF', 'FHHG']"
1,42,0,1.0,0.9530650263643888,"['SHFH', 'FFFH', 'FFFF', 'HFHG']"
1,88,0,1.0,0.9645880999032158,"['SFFF', 'HFHF', 'HFHF', 'HFFG']"
1,24,0,1.0,0.8553586117313603,"['SFFF', 'HHHF', 'HFHF', 'FFFG']"
1,7,0,0.0,0.0,"['SFHH', 'HFFF', 'FHHF', 'FFHG']"
1,96,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'HHFF', 'FFHG']"
1,55,0,1.0,0.9165572373164391,"['SFHH', 'HFHF', 'FFFF', 'FFHG']"
1,55,0,1.0,0.9821344612135428,"['SHHF', 'FFFH', 'FFFF', 'FFFG']"
1,44,0,1.0,0.9193151828650342,"['SFHH', 'HFHH', 'HFFH', 'HFFG']"
1,4,0,0.0,0.0,"['SFHF', 'FFHF', 'HFFF', 'FHHG']"
1,78,0,1.0,0.7584982177744161,"['SHFH', 'FFFH', 'HHFF', 'FHFG']"
1,53,0,1.0,0.9674905716180701,"['SHFH', 'FHFF', 'FHFF', 'FFFG']"
1,18,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFH', 'FHFG']"
1,85,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'FFHH', 'FFFG']"
1,3,0,0.0,0.0,"['SFFH', 'FFFF', 'HFFH', 'FHFG']"
1,39,0,0.0,0.0,"['SHHF', 'FFHF', 'FFHF', 'HFFG']"
1,49,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'FHFF', 'FFHG']"
1,47,0,1.0,0.7539540549517295,"['SFFF', 'FFHH', 'FFFF', 'FHHG']"
1,87,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'HFFF', 'HHHG']"
1,4,0,1.0,0.8325391341551359,"['SFFH', 'HHFH', 'HHFF', 'FHFG']"
1,36,0,0.0,0.0,"['SHFH', 'FHFF', 'FFHF', 'HFFG']"
1,95,0,1.0,0.884100203995605,"['SFFH', 'HFHH', 'HFHH', 'FFFG']"
1,18,0,1.0,0.8761671489944468,"['SFFF', 'HHHF', 'HHFF', 'HHFG']"
1,1,0,0.0,0.0,"['SHHH', 'FFHH', 'FFFF', 'HFFG']"
1,88,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHFF', 'FFHG']"
1,69,0,1.0,0.9791880578299021,"['SFFF', 'HFHF', 'FHFF', 'HFFG']"
1,65,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'HFFF', 'HHFG']"
1,4,0,1.0,0.8921050870283477,"['SFFF', 'HFFF', 'HFHF', 'HFFG']"
1,95,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'HFHF', 'FHFG']"
1,1,0,0.0,0.0,"['SFFH', 'FFFH', 'FFFF', 'FFHG']"
1,83,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'FFFF', 'FFHG']"
1,38,0,1.0,0.8683052775100066,"['SFFH', 'HHFF', 'FHHF', 'FFHG']"
1,86,0,1.0,0.9791880578299021,"['SFHH', 'FHHH', 'FFFF', 'FFFG']"
1,89,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHFF', 'FHFG']"
1,58,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'HFFG']"
1,25,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFF', 'HHFG']"
1,5,0,1.0,0.7562227231210928,"['SFFF', 'FHHF', 'FFHF', 'HHFG']"
1,93,0,1.0,0.9704017769489168,"['SHFF', 'FFHF', 'FFFF', 'FFHG']"
1,32,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'HHHG']"
1,6,0,1.0,0.9704017769489168,"['SFFF', 'FFFH', 'FFFH', 'FFFG']"
1,23,0,1.0,0.9248559951318693,"['SHHH', 'FFFH', 'HFFF', 'HFFG']"
1,73,0,1.0,0.90289112180858,"['SFHF', 'FFFH', 'FFFF', 'HFHG']"
1,85,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'HHHF', 'HFFG']"
1,87,0,1.0,0.93603800616986,"['SHHH', 'FHHH', 'FHHH', 'FFFG']"
1,5,0,0.0,0.0,"['SFHH', 'FFFH', 'HFFF', 'HHHG']"
1,12,0,1.0,0.8788035596734672,"['SFFF', 'FFFH', 'HFFH', 'HFFG']"
1,35,0,1.0,0.9248559951318693,"['SFFF', 'HFHH', 'FFHF', 'HFFG']"
1,85,0,1.0,0.9502058312852957,"['SHHH', 'FHHH', 'FFFF', 'FHFG']"
1,48,0,1.0,0.9502058312852957,"['SHFF', 'FHHH', 'FFHF', 'HFFG']"
1,72,0,1.0,0.9559328248389055,"['SFFH', 'HFHH', 'FFFF', 'FHHG']"
1,69,0,1.0,0.9445131481500655,"['SFHH', 'HFFF', 'HFHF', 'FHFG']"
1,16,0,1.0,0.7516921927868743,"['SFFF', 'HFFH', 'HHFH', 'FHFG']"
1,3,0,0.0,0.0,"['SFHF', 'FFFF', 'FFHF', 'HHHG']"
1,98,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FHFF', 'HHFG']"
1,16,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HFHG']"
1,1,0,0.0,0.0,"['SFHH', 'HFFH', 'FFFF', 'HHHG']"
1,83,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FHFF', 'FHHG']"
1,38,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHFH', 'HFFG']"
1,97,0,1.0,0.9502058312852957,"['SFHH', 'FHHF', 'FFFF', 'FHHG']"
1,36,0,0.0,0.0,"['SFFF', 'FHFH', 'FFHF', 'HFFG']"
1,81,0,1.0,0.985089730404757,"['SFFF', 'FFFH', 'HHFF', 'HHFG']"
1,54,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'HFHF', 'FFHG']"
1,72,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'HHHF', 'HHFG']"
1,73,0,1.0,0.9704017769489168,"['SFHF', 'FFFF', 'HFHF', 'HFHG']"
1,75,0,1.0,0.8152123778407558,"['SFHF', 'FFFH', 'HHFF', 'FHHG']"
1,23,0,1.0,0.8553586117313603,"['SFFF', 'FHFF', 'FFHH', 'FFFG']"
1,57,0,1.0,0.9762504936564125,"['SHFF', 'FHHF', 'FFHF', 'FFFG']"
1,50,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FFFF', 'HFHG']"
1,54,0,1.0,0.9645880999032158,"['SHFF', 'FHHH', 'FFFF', 'HFFG']"
1,88,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFFF', 'HHFG']"
1,21,0,1.0,0.9220814271464737,"['SFFF', 'FFHF', 'HFFF', 'HHHG']"
1,45,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFH', 'FHFG']"
1,46,0,1.0,0.9762504936564125,"['SHFH', 'FFFH', 'FHFF', 'FFFG']"
1,63,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FFFH', 'HFFG']"
1,55,0,1.0,0.9616943356035061,"['SHHF', 'FHFF', 'FFFF', 'FHFG']"
1,42,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFH', 'HHFG']"
1,32,0,1.0,0.9473552137914398,"['SFFF', 'FFHF', 'HFFF', 'FHHG']"
1,76,0,1.0,0.8974819010978248,"['SHFH', 'FFHH', 'HFFF', 'HHFG']"
1,29,0,1.0,0.8553586117313603,"['SFFH', 'HHFF', 'HHFH', 'HHFG']"
1,10,0,1.0,0.8426049842298329,"['SFFF', 'FFFF', 'HFHF', 'HFHG']"
1,98,0,1.0,0.9791880578299021,"['SHFF', 'FFHH', 'HFFF', 'HFFG']"
1,20,0,1.0,0.7722956964947572,"['SFFH', 'HFFF', 'HFFH', 'HHFG']"
1,83,0,1.0,0.9791880578299021,"['SFHH', 'FFHH', 'FFHF', 'FFFG']"
1,7,0,1.0,0.9559328248389055,"['SFFF', 'FHFF', 'FHFF', 'FFFG']"
1,6,0,0.0,0.0,"['SFHF', 'HFHH', 'HFHH', 'HFFG']"
1,8,0,0.0,0.0,"['SFHH', 'FFFF', 'FFHF', 'FHHG']"
1,82,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'HFFF', 'HFFG']"
1,58,0,1.0,0.9821344612135428,"['SFFH', 'FFFF', 'FHFF', 'HHHG']"
1,65,0,1.0,0.9791880578299021,"['SHFF', 'FHFF', 'FFFF', 'HFFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFH', 'FFFG']"
1,54,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'HHFF', 'FFHG']"
1,66,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFFF', 'FHFG']"
1,90,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHFF', 'HFHG']"
1,8,0,1.0,0.7584982177744161,"['SFFH', 'FFHF', 'HFFF', 'HHFG']"
1,15,0,0.0,0.0,"['SHFH', 'FHHF', 'FFFF', 'HFHG']"
1,26,0,1.0,0.8974819010978248,"['SFFF', 'HHFH', 'HFFF', 'HFFG']"
1,90,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'HHFF', 'FFFG']"
1,65,0,1.0,0.9559328248389055,"['SFHH', 'HFFF', 'HFFH', 'FHFG']"
1,39,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'FFFH', 'FHFG']"
1,39,0,1.0,0.9791880578299021,"['SFHH', 'FFHH', 'FFFF', 'HFFG']"
1,87,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHHF', 'HFHG']"
1,95,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'FFFF', 'FFFG']"
1,54,0,1.0,0.9762504936564125,"['SHHF', 'FFFF', 'FHHF', 'FFFG']"
1,99,0,1.0,0.9416796087056153,"['SFFF', 'FHFF', 'HFHF', 'HFFG']"
1,47,0,0.0,0.0,"['SHHF', 'FFFH', 'FFFH', 'FHFG']"
1,1,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'HHFG']"
1,46,0,1.0,0.8152123778407558,"['SFFF', 'HFHH', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHH', 'HFHH', 'FFHH', 'HFFG']"
1,34,0,1.0,0.8709180316048211,"['SFFF', 'FHFF', 'FFFH', 'HHFG']"
1,84,0,1.0,0.9791880578299021,"['SHHH', 'FFHH', 'FFHF', 'FFFG']"
1,68,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'HFFH', 'FHFG']"
1,43,0,1.0,0.860513950810667,"['SHHF', 'FFHF', 'FFFH', 'HFFG']"
1,75,0,1.0,0.9791880578299021,"['SFFH', 'FFFH', 'FHHF', 'FFFG']"
1,24,0,1.0,0.8225935318117279,"['SFFH', 'FFFF', 'FFHF', 'FHHG']"
1,68,0,1.0,0.9645880999032158,"['SFHF', 'HFHH', 'FFFF', 'FHFG']"
1,57,0,1.0,0.9762504936564125,"['SFFF', 'FFHF', 'HFHH', 'HFFG']"
1,94,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'FFHF', 'FFFG']"
1,14,0,1.0,0.9001824484431542,"['SFFF', 'HFHF', 'HFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFHH', 'FFFH', 'FFFG']"
1,29,0,0.0,0.0,"['SFHF', 'HFHH', 'FFHH', 'HFFG']"
1,88,0,1.0,0.985089730404757,"['SHFF', 'FHHF', 'FFHF', 'FFFG']"
1,20,0,0.0,0.0,"['SFHH', 'FFFF', 'HFHF', 'FFHG']"
1,59,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHFF', 'HFHG']"
1,97,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'FFFF', 'FHHG']"
1,9,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHF', 'FFFG']"
1,61,0,1.0,0.9762504936564125,"['SFHF', 'FFHH', 'HFFH', 'FFFG']"
1,93,0,1.0,0.9645880999032158,"['SFHF', 'FFFF', 'FHHF', 'FFHG']"
1,93,0,1.0,0.8921050870283477,"['SHHH', 'FFFF', 'HFHF', 'HHFG']"
1,56,0,1.0,0.7863441585589971,"['SFHF', 'FHFH', 'FFFF', 'HHFG']"
1,58,0,1.0,0.7863441585589971,"['SFFF', 'HFHF', 'HFFH', 'FFFG']"
1,60,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FFFF', 'FFFG']"
1,78,0,1.0,0.9193151828650342,"['SHFF', 'FFFH', 'HFHF', 'FFFG']"
1,17,0,1.0,0.8974819010978248,"['SFHF', 'FFHF', 'HFFF', 'FHFG']"
1,81,0,1.0,0.9704017769489168,"['SFHH', 'FHFH', 'FFFF', 'HFFG']"
1,97,0,1.0,0.8921050870283477,"['SFFH', 'FFFF', 'FHFH', 'HHFG']"
1,63,0,1.0,0.9704017769489168,"['SHHH', 'FFHH', 'FFFH', 'HFFG']"
1,15,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFH', 'HFFG']"
1,54,0,1.0,0.9001824484431542,"['SHFF', 'FFFF', 'HHHF', 'HFFG']"
1,65,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'HHFF', 'FHHG']"
1,29,0,1.0,0.8761671489944468,"['SFFH', 'FHFF', 'FHHF', 'HHHG']"
1,66,0,1.0,0.9502058312852957,"['SFHH', 'HFHF', 'HFFH', 'HFFG']"
1,32,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'HHFF', 'FFFG']"
1,29,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FHHF', 'HHHG']"
1,42,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FHFF', 'HFFG']"
1,7,0,1.0,0.7630697687590515,"['SHHF', 'FHFH', 'FFFF', 'HFFG']"
1,43,0,1.0,0.9704017769489168,"['SFHH', 'HFHF', 'HFFH', 'FFFG']"
1,68,0,1.0,0.9733217421754432,"['SFFF', 'HFFF', 'FFHF', 'HHHG']"
1,55,0,1.0,0.8735386475474635,"['SFFH', 'FFHF', 'HFHF', 'FFFG']"
1,29,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'FHHG']"
1,64,0,1.0,0.9645880999032158,"['SFHH', 'FFFH', 'FFFF', 'FHFG']"
1,18,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'HFFG']"
1,89,0,1.0,0.9674905716180701,"['SFFF', 'HFFF', 'HHFH', 'FHFG']"
1,88,0,1.0,0.9416796087056153,"['SFHH', 'FFFF', 'HHFH', 'HHFG']"
1,4,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHH', 'HFFG']"
1,67,0,0.0,0.0,"['SFHF', 'FHHH', 'FFHF', 'HFFG']"
1,82,0,1.0,0.9733217421754432,"['SFFH', 'FFFH', 'FHHH', 'FFFG']"
1,94,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHFF', 'HFFG']"
1,50,0,1.0,0.9502058312852957,"['SFHH', 'HFFF', 'FHHF', 'HHHG']"
