Temperature,Simulations,Return,Discounted Return,Map
1,81,0,1.0,0.985089730404757,"['SHFH', 'FFHH', 'HFFF', 'FFHG']"
1,66,0,1.0,0.9762504936564125,"['SFHH', 'HFHF', 'FFHH', 'HFFG']"
1,75,0,1.0,0.9559328248389055,"['SHFH', 'FFFH', 'FFHH', 'HFFG']"
1,76,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'FFFF', 'FHFG']"
1,73,0,1.0,0.985089730404757,"['SFHF', 'FFFH', 'FFFH', 'FFFG']"
1,63,0,1.0,0.985089730404757,"['SHHF', 'FFFH', 'FFFF', 'FFHG']"
1,39,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFH', 'FHFG']"
1,7,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'HHFG']"
1,58,0,1.0,0.8814479033836181,"['SFFH', 'FHFF', 'HFFH', 'FFFG']"
1,28,0,1.0,0.9821344612135428,"['SHFF', 'FFHH', 'FFFH', 'FFFG']"
1,48,0,1.0,0.9704017769489168,"['SFFF', 'FFHH', 'FHHF', 'FFFG']"
1,60,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'HFHF', 'FFHG']"
1,5,0,0.0,0.0,"['SFHH', 'HFFH', 'FFFF', 'HHHG']"
1,87,0,1.0,0.857932408958235,"['SFFH', 'FHFF', 'HFFH', 'HHFG']"
1,62,0,1.0,0.9704017769489168,"['SFFF', 'FFHH', 'FFHH', 'FFFG']"
1,88,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'FFFF', 'HHHG']"
1,95,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'FFFF', 'FFFG']"
1,46,0,1.0,0.9821344612135428,"['SFFH', 'FFHH', 'HFFH', 'HFFG']"
1,39,0,1.0,0.8078974551636565,"['SFFF', 'FFHH', 'HFHH', 'HFFG']"
1,58,0,1.0,0.9248559951318693,"['SFFH', 'FHFF', 'FHFH', 'FHFG']"
1,96,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'FFFF', 'HHFG']"
1,100,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HFFF', 'FFFG']"
1,38,0,0.0,0.0,"['SFFH', 'FHHH', 'FFFF', 'FHHG']"
1,89,0,0.0,0.0,"['SFHF', 'FHFH', 'FFFH', 'FHFG']"
1,39,0,1.0,0.9704017769489168,"['SFFH', 'HFHH', 'FFFH', 'FFFG']"
1,88,0,1.0,0.9674905716180701,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
1,8,0,1.0,0.9248559951318693,"['SFHF', 'FFFF', 'FHFF', 'HFFG']"
1,66,0,1.0,0.9473552137914398,"['SFHF', 'HFHF', 'FFFF', 'FHHG']"
1,44,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFH', 'FHFG']"
1,6,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHH', 'FFFG']"
1,30,0,1.0,0.7494371162085136,"['SFHF', 'FHFF', 'FFFF', 'HFFG']"
1,13,0,0.0,0.0,"['SFFF', 'FHFH', 'FHFF', 'HFHG']"
1,79,0,1.0,0.9530650263643888,"['SFFF', 'HFHH', 'HFFH', 'HHFG']"
1,88,0,1.0,0.9559328248389055,"['SFFH', 'FFHF', 'HFHF', 'HFFG']"
1,48,0,1.0,0.9559328248389055,"['SHHF', 'FFFH', 'HFFF', 'HHFG']"
1,27,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'HFHF', 'HFFG']"
1,73,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFH', 'FHFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFHH', 'HFFF', 'HHHG']"
1,36,0,1.0,0.8974819010978248,"['SFFH', 'FFFH', 'HHFH', 'FFFG']"
1,60,0,1.0,0.9165572373164391,"['SFHH', 'FHHH', 'FFFH', 'HFFG']"
1,93,0,1.0,0.8400771692771434,"['SFHF', 'HFHH', 'FFFH', 'FHFG']"
1,5,0,0.0,0.0,"['SFHH', 'FHHH', 'FFFF', 'FFHG']"
1,68,0,1.0,0.9791880578299021,"['SFFF', 'HHFH', 'HHFF', 'FHFG']"
1,63,0,1.0,0.8709180316048211,"['SFHF', 'HFFF', 'FHFH', 'HHFG']"
1,33,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'HFHG']"
1,34,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FHFG']"
1,24,0,1.0,0.9674905716180701,"['SHFH', 'FFHH', 'FFFF', 'FFFG']"
1,11,0,0.0,0.0,"['SHFH', 'FHFH', 'FHHH', 'FFFG']"
1,42,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HHFG']"
1,58,0,1.0,0.9733217421754432,"['SFFF', 'FHFH', 'HHFF', 'FHFG']"
1,92,0,1.0,0.9304302024748964,"['SHFF', 'FFFH', 'FHFF', 'FFHG']"
1,92,0,1.0,0.9502058312852957,"['SFFH', 'HHFF', 'FHFH', 'HHFG']"
1,31,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'HFFF', 'FHFG']"
1,40,0,1.0,0.8683052775100066,"['SFFF', 'HFFH', 'HFHF', 'FFFG']"
1,26,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFF', 'HHHG']"
1,39,0,1.0,0.9645880999032158,"['SFHH', 'FFFF', 'HFHF', 'HFFG']"
1,64,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FFHF', 'HHFG']"
1,97,0,1.0,0.9220814271464737,"['SHFF', 'FFFF', 'FHHF', 'HHHG']"
1,23,0,0.0,0.0,"['SFHF', 'FHHF', 'FFHH', 'HFFG']"
1,90,0,1.0,0.9645880999032158,"['SFHF', 'FFHH', 'HFFH', 'FHFG']"
1,62,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FHFF', 'HHHG']"
1,55,0,1.0,0.9821344612135428,"['SFFH', 'FHHH', 'FFHF', 'FFFG']"
1,63,0,1.0,0.985089730404757,"['SFFF', 'FHHF', 'HHFF', 'HHHG']"
1,31,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'FFHF', 'FHFG']"
1,37,0,1.0,0.7516921927868743,"['SFHF', 'FHHF', 'FHHF', 'FFFG']"
1,26,0,1.0,0.9001824484431542,"['SFFH', 'HHFF', 'HHFF', 'HHFG']"
1,57,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'HFFH', 'FFFG']"
1,84,0,1.0,0.9645880999032158,"['SFHF', 'HFFF', 'HHFF', 'FHHG']"
1,42,0,1.0,0.9530650263643888,"['SFFF', 'FHFH', 'HHFF', 'HHHG']"
1,100,0,1.0,0.9616943356035061,"['SFHH', 'HFFH', 'HHFF', 'FFFG']"
1,55,0,1.0,0.9502058312852957,"['SHFF', 'FFHF', 'HFFF', 'FHFG']"
1,67,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFH', 'HHFG']"
1,4,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFH', 'HHFG']"
1,4,0,0.0,0.0,"['SFFF', 'HHHF', 'HFHF', 'HFHG']"
1,36,0,1.0,0.9616943356035061,"['SHFF', 'FFFH', 'HFFF', 'HFFG']"
1,78,0,1.0,0.9530650263643888,"['SFFH', 'HHFH', 'HFFH', 'FFFG']"
1,91,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'FHHG']"
1,25,0,1.0,0.7746195551602378,"['SFFH', 'FFFH', 'HFFF', 'FFHG']"
1,66,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'FFHF', 'FFFG']"
1,6,0,0.0,0.0,"['SFFF', 'FHFH', 'FFFH', 'HFFG']"
1,68,0,1.0,0.9530650263643888,"['SFFF', 'HHFF', 'FHFH', 'FFFG']"
1,60,0,1.0,0.9083329444789534,"['SFFH', 'FHHH', 'FFHH', 'HFFG']"
1,51,0,0.0,0.0,"['SHFH', 'FFFF', 'HHFH', 'FHFG']"
1,44,0,1.0,0.9559328248389055,"['SFFF', 'HFHF', 'HHHF', 'HFHG']"
1,95,0,1.0,0.9645880999032158,"['SFHF', 'FHHF', 'FHFF', 'FFFG']"
1,55,0,1.0,0.8761671489944468,"['SHHH', 'FHHF', 'FFFH', 'FHFG']"
1,81,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FFHG']"
1,35,0,1.0,0.9645880999032158,"['SFFH', 'HFFH', 'HFFF', 'HHFG']"
1,32,0,1.0,0.9733217421754432,"['SFFH', 'FHFH', 'FFFH', 'FFFG']"
1,37,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HFFG']"
1,71,0,1.0,0.9304302024748964,"['SHFH', 'FFFH', 'FHHF', 'FFFG']"
1,50,0,1.0,0.9001824484431542,"['SHHH', 'FHFF', 'FHFH', 'FFFG']"
1,51,0,1.0,0.8451404054461714,"['SHFH', 'FFHH', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFH', 'FFFG']"
1,82,0,1.0,0.9704017769489168,"['SFFF', 'FFFF', 'FFHF', 'FHHG']"
1,28,0,0.0,0.0,"['SFFF', 'HFFH', 'FFHF', 'FFFG']"
1,68,0,1.0,0.9733217421754432,"['SFHF', 'FHHH', 'FFFH', 'HFFG']"
1,93,0,1.0,0.9674905716180701,"['SFFH', 'FFHH', 'FFFF', 'FHFG']"
1,44,0,0.0,0.0,"['SFHF', 'FHHF', 'FFFF', 'HHFG']"
1,55,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHFG']"
1,11,0,1.0,0.9083329444789534,"['SFFF', 'FFFF', 'HHFF', 'HFFG']"
1,64,0,1.0,0.9530650263643888,"['SFHH', 'HFHH', 'FFHF', 'FFFG']"
1,12,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'HFFG']"
1,95,0,1.0,0.9502058312852957,"['SHFF', 'FFFF', 'HHHF', 'FFHG']"
1,3,0,1.0,0.9332298921513504,"['SFFF', 'HHFF', 'FFFF', 'FHFG']"
1,17,0,1.0,0.9762504936564125,"['SHHF', 'FFHF', 'FFFF', 'FFFG']"
1,8,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HHFG']"
1,95,0,1.0,0.9588092525966956,"['SFHH', 'HFFF', 'FHHF', 'FHHG']"
1,11,0,0.0,0.0,"['SFHF', 'HFFF', 'HFFH', 'FFFG']"
1,71,0,1.0,0.9762504936564125,"['SHHH', 'FFFH', 'FFFH', 'HFFG']"
1,43,0,1.0,0.9704017769489168,"['SFFH', 'HHFH', 'FFFF', 'HFHG']"
1,16,0,1.0,0.8476834558136123,"['SFFF', 'FFHF', 'HHHF', 'HHHG']"
1,18,0,1.0,0.747188804859888,"['SFFH', 'FHFF', 'FFFF', 'FFHG']"
1,51,0,1.0,0.9704017769489168,"['SFFF', 'FHHH', 'FFFH', 'HFFG']"
1,41,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FHFF', 'HHFG']"
1,28,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFH', 'FHFG']"
1,61,0,1.0,0.90289112180858,"['SFFH', 'FFHF', 'FFHF', 'HFFG']"
1,48,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'FFFF', 'HFFG']"
1,75,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'HFFF', 'HFFG']"
1,33,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'FFFF', 'FFFG']"
1,6,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFF', 'FFHG']"
1,58,0,1.0,0.9674905716180701,"['SFHF', 'FFHF', 'FFFF', 'FFFG']"
1,2,0,0.0,0.0,"['SFHH', 'FFFF', 'FHHF', 'HHFG']"
1,89,0,1.0,0.9559328248389055,"['SHFH', 'FFFF', 'FHFF', 'FHFG']"
1,77,0,1.0,0.9821344612135428,"['SFHH', 'HFFH', 'FFFF', 'HFFG']"
1,11,0,1.0,0.93603800616986,"['SFFF', 'FHHF', 'HHHF', 'FFFG']"
1,85,0,1.0,0.9674905716180701,"['SFHF', 'HFFF', 'FFFH', 'HFFG']"
1,45,0,1.0,0.9165572373164391,"['SHHH', 'FHFH', 'FFFH', 'HFFG']"
1,96,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'HFFH', 'FFFG']"
1,40,0,1.0,0.9332298921513504,"['SFHF', 'FFFF', 'HFFF', 'FHFG']"
1,69,0,1.0,0.9332298921513504,"['SFFH', 'FHFH', 'HFFF', 'HFFG']"
1,8,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HFFF', 'FFHG']"
1,41,0,0.0,0.0,"['SHHF', 'FFFF', 'FHHF', 'HFFG']"
1,35,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'FFFF', 'HHFG']"
1,1,0,0.0,0.0,"['SHFF', 'FHHH', 'FFFF', 'FFHG']"
1,61,0,1.0,0.9193151828650342,"['SFHH', 'HFFF', 'HHFF', 'FHHG']"
1,70,0,1.0,0.9821344612135428,"['SHHF', 'FFHF', 'FFFH', 'HFFG']"
1,79,0,1.0,0.8735386475474635,"['SFHF', 'FFHF', 'HFFF', 'HHHG']"
1,56,0,1.0,0.9332298921513504,"['SFFH', 'HHFH', 'HFFF', 'FFHG']"
1,22,0,1.0,0.9473552137914398,"['SHHF', 'FFFF', 'FFFH', 'FFFG']"
1,41,0,1.0,0.985089730404757,"['SFFH', 'FHHH', 'FFFH', 'FFFG']"
1,65,0,1.0,0.9388545698794984,"['SHHH', 'FFHH', 'HFFF', 'HFFG']"
1,38,0,1.0,0.9056079456455165,"['SFFH', 'FHFH', 'HFFF', 'FHHG']"
1,93,0,1.0,0.9645880999032158,"['SFFH', 'HFFH', 'FHFF', 'HFFG']"
1,55,0,1.0,0.9110661429076764,"['SFHF', 'FFFH', 'FHFF', 'FHHG']"
1,70,0,1.0,0.7494371162085136,"['SFFH', 'FHFH', 'FFHH', 'HFFG']"
1,68,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HHFF', 'HHHG']"
1,92,0,1.0,0.8683052775100066,"['SFHF', 'FFFH', 'HFHF', 'FFFG']"
1,77,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'HFFG']"
1,30,0,1.0,0.90289112180858,"['SFFF', 'FFHF', 'HHFF', 'FFHG']"
1,29,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFH', 'FHFG']"
1,4,0,0.0,0.0,"['SFHH', 'HFHF', 'HFFF', 'FHHG']"
1,39,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'FHFG']"
1,20,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'HFFF', 'HHFG']"
1,80,0,1.0,0.9674905716180701,"['SHHH', 'FFHF', 'FFFH', 'HFFG']"
1,27,0,1.0,0.8631032605924442,"['SFFF', 'HFFH', 'FHFH', 'FHFG']"
1,47,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'HFHG']"
1,38,0,1.0,0.9704017769489168,"['SHHF', 'FFFH', 'FFFF', 'HHHG']"
1,68,0,0.0,0.0,"['SHFH', 'FHFH', 'FFFF', 'HFHG']"
1,30,0,0.0,0.0,"['SFHH', 'HFHF', 'FFHH', 'HFFG']"
1,62,0,1.0,0.9388545698794984,"['SFFF', 'FFFF', 'HHFH', 'HHFG']"
1,45,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'HFFF', 'HFHG']"
1,91,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'HFHF', 'FFFG']"
1,43,0,1.0,0.985089730404757,"['SFHF', 'HFFH', 'FFFH', 'FFFG']"
1,47,0,1.0,0.8974819010978248,"['SFHH', 'FFFF', 'HHHF', 'FHFG']"
1,13,0,0.0,0.0,"['SHFF', 'FFFF', 'FHFF', 'HFHG']"
1,12,0,0.0,0.0,"['SFFF', 'HHFF', 'FHFH', 'FHFG']"
1,87,0,1.0,0.9193151828650342,"['SHHH', 'FFFF', 'FHHF', 'FHFG']"
1,96,0,1.0,0.9588092525966956,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,5,0,0.0,0.0,"['SHHH', 'FFHF', 'FFHH', 'HFFG']"
1,28,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'HFFG']"
1,83,0,1.0,0.9704017769489168,"['SFFH', 'HFFH', 'FFFF', 'FHFG']"
1,46,0,1.0,0.9083329444789534,"['SFHF', 'HFFF', 'FHHF', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FFFF', 'FHHF', 'FFHG']"
1,39,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HHHF', 'HHHG']"
1,96,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'HFFF', 'HHHG']"
1,59,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'FHHG']"
1,28,0,1.0,0.9473552137914398,"['SFHF', 'HFFF', 'HHHF', 'FHFG']"
1,39,0,1.0,0.79346393184295,"['SHFH', 'FHHF', 'FHFF', 'FFFG']"
1,20,0,0.0,0.0,"['SFFF', 'FFFH', 'FHHH', 'FFFG']"
1,57,0,1.0,0.9559328248389055,"['SFFF', 'FHFH', 'HFFH', 'HHFG']"
1,30,0,1.0,0.9762504936564125,"['SFHH', 'FHFF', 'FFFF', 'FFFG']"
1,63,0,1.0,0.8921050870283477,"['SFFH', 'FFHF', 'HFHH', 'FFFG']"
1,9,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFH', 'HFFG']"
1,76,0,1.0,0.9704017769489168,"['SHHH', 'FFFF', 'FHFF', 'HFFG']"
1,16,0,1.0,0.8894287717672626,"['SFFH', 'FFFH', 'FFHH', 'FFFG']"
1,18,0,0.0,0.0,"['SHFH', 'FFFH', 'FFHF', 'HFFG']"
1,1,0,0.0,0.0,"['SFFH', 'FHFH', 'HHFF', 'HFFG']"
1,97,0,1.0,0.9276389118674717,"['SHHH', 'FFFF', 'FHFF', 'HFHG']"
1,87,0,1.0,0.9588092525966956,"['SFFH', 'FFFF', 'HHFH', 'HFFG']"
1,40,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'FHFF', 'FFFG']"
1,72,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FFFF', 'FFFG']"
1,2,0,0.0,0.0,"['SFFF', 'HFHH', 'HFHH', 'HFFG']"
1,90,0,1.0,0.9388545698794984,"['SHHH', 'FFHH', 'FFFF', 'HHHG']"
1,44,0,1.0,0.8974819010978248,"['SHHH', 'FHFF', 'FHHF', 'FFFG']"
1,75,0,1.0,0.985089730404757,"['SFFF', 'HFHF', 'HFFF', 'HHFG']"
1,35,0,1.0,0.90289112180858,"['SHFF', 'FFFF', 'FHHF', 'HFFG']"
1,97,0,1.0,0.9276389118674717,"['SFFH', 'FHFH', 'HHFF', 'HFHG']"
1,69,0,1.0,0.9704017769489168,"['SHFF', 'FHHF', 'FFHH', 'FFFG']"
1,46,0,1.0,0.9762504936564125,"['SFHF', 'HFFF', 'FHFF', 'HHHG']"
1,38,0,1.0,0.884100203995605,"['SHFF', 'FFFH', 'FFFF', 'FHHG']"
1,62,0,1.0,0.9502058312852957,"['SHFH', 'FHHH', 'FHFH', 'FFFG']"
1,36,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'HHHG']"
1,51,0,1.0,0.9220814271464737,"['SFHF', 'FHFH', 'FHHH', 'FFFG']"
1,17,0,1.0,0.9473552137914398,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,34,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'FHHG']"
1,96,0,1.0,0.9704017769489168,"['SHFF', 'FHFF', 'FFFH', 'HFFG']"
1,39,0,1.0,0.8275513922024125,"['SFFF', 'HHHF', 'HHHF', 'HHHG']"
1,87,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'HFFG']"
1,99,0,1.0,0.9821344612135428,"['SFFF', 'HFFF', 'HFHF', 'HHHG']"
1,90,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FHHH', 'FFFG']"
1,77,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'HHHF', 'HFHG']"
1,82,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'HHFF', 'HHFG']"
1,52,0,1.0,0.9791880578299021,"['SFFF', 'FFFH', 'FFFH', 'HFFG']"
1,43,0,1.0,0.93603800616986,"['SHHH', 'FHHF', 'FFFH', 'HFFG']"
1,47,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'HFFF', 'FFHG']"
1,45,0,1.0,0.9762504936564125,"['SFFH', 'HFHH', 'FFHF', 'FFFG']"
1,6,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'HFHG']"
1,61,0,1.0,0.9416796087056153,"['SFFH', 'FHFH', 'HFFF', 'HFFG']"
1,20,0,1.0,0.8683052775100066,"['SFFH', 'HFFF', 'FFHF', 'HHHG']"
1,12,0,1.0,0.7584982177744161,"['SFHH', 'FHHF', 'FFFH', 'FFFG']"
1,36,0,1.0,0.7630697687590515,"['SHFF', 'FFHH', 'FHHF', 'FFFG']"
1,37,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'FFFF', 'FHFG']"
1,10,0,0.0,0.0,"['SFFF', 'FFHF', 'FHFH', 'FFFG']"
1,81,0,1.0,0.9220814271464737,"['SFFH', 'FFFF', 'FHHF', 'HHFG']"
1,89,0,1.0,0.9791880578299021,"['SFFH', 'FHHH', 'FFHF', 'FFFG']"
1,48,0,1.0,0.8078974551636565,"['SFFH', 'HHFF', 'FFHF', 'FFHG']"
1,15,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'HFFG']"
1,28,0,1.0,0.8476834558136123,"['SHFH', 'FHFF', 'FFHH', 'FFFG']"
1,59,0,1.0,0.803057341509771,"['SFFF', 'FHHF', 'FFFH', 'HHFG']"
1,86,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'FFFF', 'FHHG']"
1,41,0,1.0,0.9733217421754432,"['SFFH', 'FFHF', 'FFFH', 'HFFG']"
1,26,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFH', 'FHFG']"
1,71,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'FFHF', 'HHFG']"
1,94,0,1.0,0.9762504936564125,"['SFFH', 'HHFF', 'FHFF', 'FHHG']"
1,81,0,1.0,0.9704017769489168,"['SFFH', 'HFHF', 'HFFF', 'FFFG']"
1,67,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FHHF', 'HFHG']"
1,96,0,1.0,0.8867604854519608,"['SFHH', 'FFFH', 'HHFF', 'HFHG']"
1,9,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'FHHG']"
1,49,0,1.0,0.9791880578299021,"['SFHH', 'HFHF', 'HFFF', 'HFFG']"
1,28,0,1.0,0.8325391341551359,"['SFFF', 'FFFF', 'HFHH', 'HFFG']"
