Temperature,Simulations,Return,Discounted Return,Map
1,76,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'HFFF', 'FFHG']"
1,82,0,0.0,0.0,"['SHFF', 'FFFF', 'HHHF', 'HFHG']"
1,64,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'FFFF', 'FFFG']"
1,41,0,1.0,0.884100203995605,"['SFFF', 'FHFH', 'FHFF', 'HHHG']"
1,32,0,1.0,0.9733217421754432,"['SHHH', 'FHFH', 'FHHF', 'FFFG']"
1,13,0,1.0,0.9110661429076764,"['SFHF', 'FFHH', 'HFFF', 'FHFG']"
1,84,0,1.0,0.93603800616986,"['SFFF', 'FHHH', 'FFFF', 'FHFG']"
1,2,0,0.0,0.0,"['SFFF', 'HHHF', 'FFHF', 'HFHG']"
1,93,0,1.0,0.9704017769489168,"['SFHH', 'FFFH', 'HFFH', 'HFFG']"
1,63,0,1.0,0.9791880578299021,"['SHHH', 'FFFH', 'FHHH', 'FFFG']"
1,62,0,1.0,0.985089730404757,"['SFHF', 'FHFF', 'FFHH', 'FFFG']"
1,36,0,1.0,0.9645880999032158,"['SFFH', 'FFFF', 'FFFF', 'FHFG']"
1,44,0,0.0,0.0,"['SFHH', 'HFHF', 'FFFF', 'FFHG']"
1,37,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'FFHG']"
1,22,0,1.0,0.8894287717672626,"['SFFF', 'HFHF', 'HHHF', 'FHHG']"
1,11,0,0.0,0.0,"['SFHF', 'FHFF', 'FFHH', 'FFFG']"
1,63,0,1.0,0.9588092525966956,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,13,0,1.0,0.7863441585589971,"['SFHH', 'HFFF', 'HFFF', 'FFHG']"
1,88,0,1.0,0.8814479033836181,"['SFHH', 'FHHH', 'FFFF', 'HFHG']"
1,98,0,1.0,0.985089730404757,"['SFFF', 'HHHF', 'FHFF', 'HFHG']"
1,92,0,1.0,0.9762504936564125,"['SFHH', 'FFFF', 'FFFH', 'FFFG']"
1,32,0,1.0,0.9332298921513504,"['SFFH', 'HHFH', 'HHFH', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FFFH', 'FHFF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFH', 'HFFH', 'FHFH', 'HFFG']"
1,24,0,1.0,0.9821344612135428,"['SFHH', 'FFFH', 'HFFF', 'FFHG']"
1,100,0,1.0,0.9733217421754432,"['SFFF', 'FHHF', 'FHHF', 'FFFG']"
1,44,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFH', 'FHFG']"
1,27,0,1.0,0.8814479033836181,"['SFHH', 'HFHF', 'FFFH', 'FFFG']"
1,32,0,1.0,0.9502058312852957,"['SFHF', 'FFHH', 'HFFF', 'FFHG']"
1,79,0,1.0,0.9791880578299021,"['SHFH', 'FFFH', 'HFFF', 'FFFG']"
1,27,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'FHHG']"
1,60,0,1.0,0.9530650263643888,"['SFHF', 'HFFF', 'FFHF', 'FFFG']"
1,96,0,1.0,0.9559328248389055,"['SFFH', 'FHFH', 'FHFF', 'HHFG']"
1,8,0,1.0,0.9530650263643888,"['SFFF', 'HHFF', 'FFHF', 'FFFG']"
1,24,0,1.0,0.90289112180858,"['SFFH', 'FHFH', 'HFFH', 'FFFG']"
1,20,0,1.0,0.8476834558136123,"['SFFH', 'FHFF', 'FFHH', 'FFFG']"
1,90,0,1.0,0.9704017769489168,"['SHFH', 'FFHH', 'FFFF', 'FHFG']"
1,27,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'FHFF', 'HHFG']"
1,43,0,1.0,0.9645880999032158,"['SHHF', 'FHHF', 'FFFH', 'FFFG']"
1,31,0,1.0,0.9502058312852957,"['SFFH', 'FFFF', 'HHHF', 'FFFG']"
1,43,0,1.0,0.8894287717672626,"['SFHH', 'HFHF', 'HFFH', 'FFFG']"
1,38,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'HHFF', 'FHHG']"
1,88,0,1.0,0.9704017769489168,"['SFHH', 'FFFH', 'FFFF', 'FHFG']"
1,3,0,1.0,0.7427123967299725,"['SFFF', 'FFHF', 'HFHF', 'HHFG']"
1,45,0,1.0,0.9276389118674717,"['SFFF', 'FHHF', 'HFHF', 'FHHG']"
1,98,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'FHFF', 'HHFG']"
1,31,0,1.0,0.9588092525966956,"['SFHH', 'HFHF', 'FFFF', 'FFFG']"
1,11,0,0.0,0.0,"['SFFF', 'HFHF', 'HFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HHFG']"
1,62,0,1.0,0.985089730404757,"['SFFH', 'HHFF', 'HHFF', 'HFFG']"
1,74,0,1.0,0.9821344612135428,"['SFFH', 'FFHH', 'FHFH', 'FFFG']"
1,9,0,0.0,0.0,"['SFHH', 'HFFH', 'HFFF', 'HFFG']"
1,92,0,1.0,0.985089730404757,"['SHFF', 'FHHH', 'FHFF', 'FFFG']"
1,85,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFFF', 'FHHG']"
1,70,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFH', 'FHFG']"
1,38,0,1.0,0.857932408958235,"['SFHF', 'FHHH', 'FHHH', 'FFFG']"
1,13,0,0.0,0.0,"['SHHH', 'FFHF', 'FFFF', 'FHFG']"
1,52,0,1.0,0.9304302024748964,"['SHHF', 'FFFF', 'HFFH', 'FHFG']"
1,81,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HHFF', 'FFHG']"
1,2,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'HHFF', 'HHFG']"
1,39,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHH', 'FFFG']"
1,31,0,1.0,0.8078974551636565,"['SFHF', 'FFFF', 'FHFH', 'FFFG']"
1,57,0,1.0,0.9704017769489168,"['SHHH', 'FFFH', 'FHHH', 'FFFG']"
1,25,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'HFHG']"
1,81,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFF', 'HHHG']"
1,33,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HFFH', 'HHFG']"
1,65,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'HHFG']"
1,68,0,1.0,0.9733217421754432,"['SFFH', 'FFHF', 'FFFF', 'FFFG']"
1,9,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFH', 'FFFG']"
1,93,0,1.0,0.9821344612135428,"['SFFF', 'HHHF', 'FHHF', 'FFFG']"
1,82,0,1.0,0.9791880578299021,"['SFFH', 'FFHF', 'FFHF', 'FFFG']"
1,96,0,1.0,0.9821344612135428,"['SHFH', 'FHHH', 'FFHF', 'FFFG']"
1,64,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'HFFH', 'FHFG']"
1,78,0,1.0,0.9559328248389055,"['SFFF', 'HFFH', 'FFFF', 'FHFG']"
1,70,0,0.0,0.0,"['SHFH', 'FFHH', 'HFFF', 'HHHG']"
1,86,0,1.0,0.9220814271464737,"['SFFH', 'FFHF', 'FFFH', 'FHFG']"
1,37,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'FHFG']"
1,14,0,0.0,0.0,"['SFFF', 'HHFF', 'FHFH', 'FHFG']"
1,70,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFHF', 'FFFG']"
1,89,0,1.0,0.9791880578299021,"['SFFF', 'FFFF', 'HFFF', 'FFFG']"
1,79,0,1.0,0.7792882711929549,"['SFHH', 'FHFH', 'FFFF', 'FHHG']"
1,58,0,1.0,0.9110661429076764,"['SFFF', 'FFFH', 'HFHF', 'FFFG']"
1,24,0,0.0,0.0,"['SHHH', 'FFFF', 'FFHF', 'FFHG']"
1,82,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'HFHF', 'FHHG']"
1,17,0,1.0,0.8894287717672626,"['SFFF', 'FFFH', 'FFFF', 'FFHG']"
1,9,0,1.0,0.8735386475474635,"['SFFF', 'FFHF', 'FFHF', 'HHHG']"
1,75,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'FHHG']"
1,5,0,0.0,0.0,"['SFFH', 'FHFF', 'FHHF', 'HFHG']"
1,39,0,1.0,0.8176653739626438,"['SFHH', 'HFFH', 'HFFF', 'FHHG']"
1,36,0,1.0,0.93603800616986,"['SHFH', 'FFHF', 'FFHH', 'FFFG']"
1,37,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'HFHG']"
1,74,0,1.0,0.9332298921513504,"['SFHF', 'HFHF', 'FFFF', 'FHFG']"
1,29,0,1.0,0.9332298921513504,"['SFFF', 'FFHF', 'FFHF', 'HHHG']"
1,57,0,1.0,0.9530650263643888,"['SFHH', 'FHFH', 'FFFH', 'HFFG']"
1,22,0,1.0,0.8921050870283477,"['SFFF', 'HHHF', 'HHHF', 'FFHG']"
1,50,0,1.0,0.9220814271464737,"['SFFF', 'FFHF', 'HFFH', 'HFFG']"
1,52,0,0.0,0.0,"['SFFF', 'FFHH', 'HFFF', 'FHHG']"
1,12,0,1.0,0.9416796087056153,"['SFFF', 'FFFF', 'FHHF', 'FFFG']"
1,95,0,1.0,0.9733217421754432,"['SHHH', 'FFFH', 'FHFF', 'FHFG']"
1,92,0,1.0,0.8225935318117279,"['SFHH', 'FFFH', 'HHFH', 'HHFG']"
1,73,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'FFFF', 'FFHG']"
1,60,0,1.0,0.9304302024748964,"['SFHF', 'FFFH', 'HHFH', 'HFFG']"
1,91,0,0.0,0.0,"['SHFH', 'FFFF', 'FHFH', 'HHFG']"
1,46,0,1.0,0.7653658663581259,"['SFHH', 'FFFF', 'FHFH', 'HHFG']"
1,66,0,1.0,0.9530650263643888,"['SHHH', 'FFFF', 'FFHH', 'HFFG']"
1,71,0,1.0,0.9791880578299021,"['SHFH', 'FHFF', 'FFFH', 'HFFG']"
1,19,0,0.0,0.0,"['SHFF', 'FFHF', 'HFFF', 'FHFG']"
1,97,0,1.0,0.9704017769489168,"['SFHH', 'HFFH', 'FFFF', 'FFHG']"
1,12,0,1.0,0.9445131481500655,"['SFFF', 'HFHF', 'HFFF', 'HFHG']"
1,65,0,1.0,0.9445131481500655,"['SHFF', 'FFFF', 'HFFF', 'HFHG']"
1,10,0,0.0,0.0,"['SFFF', 'HHFF', 'FFFH', 'FFFG']"
1,78,0,1.0,0.9704017769489168,"['SFHF', 'FFFH', 'FFFH', 'FHFG']"
1,37,0,1.0,0.9276389118674717,"['SFFH', 'FHFH', 'HFFF', 'FFFG']"
1,53,0,1.0,0.9276389118674717,"['SFFH', 'FHFH', 'HFFH', 'HFFG']"
1,12,0,1.0,0.9502058312852957,"['SHFF', 'FFFF', 'FFHH', 'FFFG']"
1,45,0,1.0,0.9704017769489168,"['SFFF', 'FFHH', 'FFFH', 'FFFG']"
1,49,0,1.0,0.9502058312852957,"['SHHH', 'FHFF', 'FHFF', 'FFFG']"
1,56,0,1.0,0.8400771692771434,"['SFHH', 'FFHH', 'FFFF', 'FFHG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFH', 'FFFH', 'HFFG']"
1,16,0,0.0,0.0,"['SFFH', 'HFFH', 'FFFH', 'HHFG']"
1,13,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'FHFG']"
1,95,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'FHHF', 'FHHG']"
1,31,0,1.0,0.9304302024748964,"['SFFH', 'FFFF', 'FFHF', 'FFHG']"
1,20,0,0.0,0.0,"['SFFH', 'FHFF', 'FHHF', 'FHFG']"
1,82,0,1.0,0.9733217421754432,"['SHFH', 'FFFF', 'HFFF', 'HHFG']"
1,82,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'FHHF', 'FHFG']"
1,23,0,1.0,0.9791880578299021,"['SFFH', 'HFFH', 'HFFF', 'HFFG']"
1,46,0,1.0,0.9616943356035061,"['SHFF', 'FFFH', 'FFFF', 'HFHG']"
1,13,0,1.0,0.8201257512162927,"['SFFH', 'HFFH', 'FHFF', 'HFFG']"
1,79,0,1.0,0.9276389118674717,"['SFHH', 'FFHH', 'FHFH', 'FFFG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FHFF', 'FHHG']"
1,34,0,1.0,0.9616943356035061,"['SHHH', 'FHHH', 'FHHH', 'FFFG']"
1,96,0,1.0,0.7539540549517295,"['SHFF', 'FFHF', 'HFFF', 'HHHG']"
1,31,0,1.0,0.9416796087056153,"['SFFF', 'FFHF', 'HFFH', 'FFFG']"
1,43,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'HHFF', 'HFFG']"
1,91,0,1.0,0.9821344612135428,"['SFHH', 'HFFF', 'FHHF', 'FHFG']"
1,2,0,0.0,0.0,"['SFFF', 'HHFF', 'FFHF', 'HFHG']"
1,3,0,0.0,0.0,"['SFFH', 'HHFF', 'FHHF', 'FFFG']"
1,71,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HHFF', 'HHFG']"
1,52,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FFFF', 'HHHG']"
1,87,0,1.0,0.9791880578299021,"['SHFH', 'FFFH', 'HFFF', 'HFFG']"
1,71,0,1.0,0.93603800616986,"['SHHH', 'FHHH', 'FFHH', 'FFFG']"
1,75,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFH', 'HHFG']"
1,49,0,1.0,0.9588092525966956,"['SFFF', 'FHFF', 'FHHF', 'HHHG']"
1,13,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'FFHG']"
1,17,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHH', 'FFFG']"
1,83,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HFHG']"
1,62,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'FHFH', 'FHFG']"
1,25,0,1.0,0.9733217421754432,"['SFHH', 'FFFF', 'FFFF', 'FHFG']"
1,52,0,1.0,0.9733217421754432,"['SHFF', 'FHFH', 'FFHF', 'FFFG']"
1,63,0,1.0,0.90289112180858,"['SHFH', 'FFHH', 'HFFF', 'FHHG']"
1,67,0,1.0,0.9704017769489168,"['SHHH', 'FFFF', 'FFHF', 'FFFG']"
1,44,0,1.0,0.9165572373164391,"['SFFF', 'FHFF', 'HHFH', 'FFFG']"
1,33,0,1.0,0.9588092525966956,"['SFFH', 'HFHF', 'FFFH', 'HFFG']"
1,88,0,1.0,0.7653658663581259,"['SFHH', 'FHHF', 'FFFH', 'FHFG']"
1,72,0,1.0,0.9530650263643888,"['SFFF', 'FFFF', 'FFHH', 'HFFG']"
1,7,0,0.0,0.0,"['SFFF', 'FFHH', 'FFFF', 'FFFG']"
1,17,0,1.0,0.8867604854519608,"['SFFF', 'FFFF', 'HFHF', 'HHFG']"
1,76,0,1.0,0.9445131481500655,"['SFFF', 'FHHF', 'FFFF', 'FFHG']"
1,85,0,1.0,0.9645880999032158,"['SFHH', 'FHFH', 'FFFH', 'HFFG']"
1,85,0,1.0,0.9530650263643888,"['SFFF', 'HHFF', 'FFHF', 'FHFG']"
1,88,0,1.0,0.9001824484431542,"['SHHH', 'FHHH', 'FFFF', 'HFHG']"
1,2,0,0.0,0.0,"['SFFH', 'FFFH', 'HFHF', 'HFFG']"
1,6,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'FFHG']"
1,24,0,0.0,0.0,"['SFHH', 'FFFF', 'HHFH', 'HHFG']"
1,54,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'FFFF', 'HFHG']"
1,40,0,1.0,0.9220814271464737,"['SFFF', 'HFFF', 'HHFH', 'HHFG']"
1,94,0,1.0,0.985089730404757,"['SHFH', 'FHFF', 'FHHH', 'FFFG']"
1,73,0,1.0,0.9304302024748964,"['SFFF', 'HHFF', 'FFFH', 'FFFG']"
1,19,0,1.0,0.9645880999032158,"['SHHH', 'FHFF', 'FFFH', 'FFFG']"
1,32,0,1.0,0.7494371162085136,"['SFFH', 'FFFF', 'FHHF', 'FHHG']"
1,17,0,1.0,0.9473552137914398,"['SFFF', 'FFFH', 'HHFF', 'HFFG']"
1,48,0,1.0,0.985089730404757,"['SFFF', 'FHFF', 'FHFF', 'HFFG']"
1,97,0,1.0,0.9733217421754432,"['SFFH', 'FHFH', 'FFFF', 'FFFG']"
1,31,0,0.0,0.0,"['SHHF', 'FFFF', 'HFHF', 'HFHG']"
1,35,0,0.0,0.0,"['SHHH', 'FFFH', 'FFFF', 'FFHG']"
1,46,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFF', 'FHHG']"
1,67,0,1.0,0.9674905716180701,"['SFFF', 'FFFF', 'FHHF', 'FFFG']"
1,5,0,0.0,0.0,"['SHFF', 'FFFF', 'FFFF', 'FFHG']"
1,22,0,1.0,0.8054737627981655,"['SFFH', 'HHFF', 'HHHF', 'HHFG']"
1,77,0,1.0,0.93603800616986,"['SFFH', 'FHFH', 'FHFF', 'HHHG']"
1,44,0,1.0,0.9473552137914398,"['SFFH', 'FHFH', 'FHFF', 'FFHG']"
1,55,0,0.0,0.0,"['SFFH', 'HFFF', 'FFHH', 'HFFG']"
1,90,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HHHF', 'HFHG']"
1,16,0,1.0,0.9645880999032158,"['SFFH', 'HHFH', 'HFFF', 'HFHG']"
1,35,0,1.0,0.8921050870283477,"['SFFH', 'FFFF', 'HFHH', 'FFFG']"
1,86,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HHFF', 'FHHG']"
1,41,0,0.0,0.0,"['SFFF', 'HFHH', 'HFFH', 'FHFG']"
1,61,0,1.0,0.9791880578299021,"['SFHF', 'FFFF', 'HHHF', 'HFFG']"
1,49,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'FHFF', 'FFHG']"
1,66,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'HFFH', 'FFFG']"
1,83,0,1.0,0.9791880578299021,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,31,0,1.0,0.9138075656044898,"['SFFF', 'HFFH', 'HFHF', 'HFFG']"
1,65,0,1.0,0.857932408958235,"['SFFH', 'FHFH', 'HHFF', 'FHHG']"
1,44,0,1.0,0.9791880578299021,"['SFFH', 'FHHH', 'FFFH', 'HFFG']"
1,36,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHH', 'HFFG']"
1,11,0,1.0,0.8761671489944468,"['SFHF', 'FFHF', 'FFHH', 'FFFG']"
1,32,0,0.0,0.0,"['SFHF', 'HFFH', 'HFHF', 'FFFG']"
1,64,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFH', 'FFFG']"
1,54,0,1.0,0.9304302024748964,"['SFFF', 'HHFH', 'HFFH', 'FFFG']"
1,72,0,1.0,0.9821344612135428,"['SFHH', 'FHHH', 'FFFF', 'FFFG']"
1,100,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'FHFF', 'HHHG']"
1,2,0,1.0,0.9110661429076764,"['SFFF', 'FFFF', 'FFHF', 'HFFG']"
1,72,0,1.0,0.8451404054461714,"['SFFH', 'HFHH', 'HFFF', 'FFHG']"
1,49,0,1.0,0.8867604854519608,"['SFHH', 'FFFH', 'HFFF', 'HFHG']"
1,51,0,1.0,0.9559328248389055,"['SHHF', 'FFFH', 'FFHF', 'HFFG']"
1,60,0,1.0,0.9530650263643888,"['SHFH', 'FFHF', 'FHHH', 'FFFG']"
1,18,0,0.0,0.0,"['SFHH', 'HFFF', 'HHFH', 'HFFG']"
1,17,0,1.0,0.9473552137914398,"['SFFF', 'FFFF', 'FHHF', 'FHHG']"
1,94,0,1.0,0.9791880578299021,"['SFFF', 'HFFH', 'FFFF', 'HFHG']"
1,69,0,1.0,0.8657003616774767,"['SFHF', 'HFFF', 'FFHF', 'HHHG']"
1,8,0,1.0,0.9083329444789534,"['SFFF', 'HHHF', 'FHFF', 'FHHG']"
1,43,0,1.0,0.9791880578299021,"['SHFH', 'FFFF', 'FFFH', 'FFFG']"
1,8,0,1.0,0.9588092525966956,"['SFHF', 'FFFF', 'FFHF', 'FFFG']"
1,30,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HHHG']"
1,57,0,1.0,0.9616943356035061,"['SHHF', 'FFHH', 'FFHH', 'HFFG']"
1,84,0,1.0,0.9791880578299021,"['SFHH', 'FFFH', 'HHFF', 'FFFG']"
1,82,0,1.0,0.9645880999032158,"['SFHF', 'HFHF', 'FFFH', 'FFFG']"
1,38,0,0.0,0.0,"['SHFF', 'FFHH', 'FFFF', 'HFFG']"
1,27,0,1.0,0.93603800616986,"['SFFH', 'FFFF', 'HHFF', 'FFHG']"
1,98,0,1.0,0.9821344612135428,"['SHHH', 'FHHH', 'FFFF', 'FFFG']"
1,16,0,1.0,0.9704017769489168,"['SFFF', 'HFHF', 'FFHF', 'HFFG']"
1,35,0,0.0,0.0,"['SHFF', 'FFHF', 'HFHF', 'FFFG']"
1,19,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'HHHG']"
1,44,0,1.0,0.9559328248389055,"['SFFF', 'FFHH', 'FFHH', 'HFFG']"
1,13,0,0.0,0.0,"['SFFF', 'HHFF', 'HFHF', 'HHHG']"
1,37,0,1.0,0.9616943356035061,"['SFFF', 'HHFF', 'FFHF', 'HHHG']"
1,28,0,0.0,0.0,"['SFHH', 'FHHF', 'FFFH', 'HHFG']"
1,63,0,1.0,0.9559328248389055,"['SFFF', 'FFFH', 'HFFF', 'FHHG']"
1,19,0,1.0,0.9388545698794984,"['SFFF', 'FHFF', 'HFFH', 'HHFG']"
1,100,0,1.0,0.9445131481500655,"['SFFH', 'FFFH', 'FHFF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFF', 'FFHF', 'FHHF', 'HFHG']"
1,10,0,0.0,0.0,"['SFHF', 'FHFH', 'FFHH', 'HFFG']"
1,6,0,0.0,0.0,"['SFHH', 'HFFF', 'HHHF', 'HFFG']"
1,33,0,1.0,0.9645880999032158,"['SFFF', 'HFFF', 'HFHF', 'FHFG']"
1,1,0,0.0,0.0,"['SHFH', 'FFHF', 'FFFH', 'FHFG']"
1,100,0,1.0,0.9821344612135428,"['SFHF', 'FFFF', 'FHFF', 'HHFG']"
1,43,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'HFFF', 'HFHG']"
1,59,0,1.0,0.860513950810667,"['SFFH', 'HHFH', 'FFFH', 'FHFG']"
1,83,0,1.0,0.9704017769489168,"['SFHF', 'FFHH', 'FFFF', 'HHFG']"
1,11,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'HHFG']"
1,66,0,1.0,0.9733217421754432,"['SFFH', 'FHFF', 'HHFF', 'FHFG']"
1,62,0,1.0,0.9645880999032158,"['SFFF', 'HHFF', 'FHHF', 'FHHG']"
1,9,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHH', 'FFFG']"
1,75,0,1.0,0.9083329444789534,"['SFHH', 'FHHH', 'FHFF', 'FFFG']"
1,45,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'FFFF', 'HHFG']"
1,11,0,1.0,0.90289112180858,"['SFFF', 'FFFF', 'FFFH', 'FFFG']"
1,95,0,1.0,0.9645880999032158,"['SHFF', 'FFFF', 'HHFH', 'HFFG']"
1,52,0,1.0,0.9193151828650342,"['SFHH', 'HFFF', 'FFHF', 'FFHG']"
1,36,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HFFF', 'HHHG']"
1,72,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'HHFF', 'FHHG']"
1,5,0,1.0,0.9248559951318693,"['SFFF', 'FFFF', 'HHHF', 'FFFG']"
1,29,0,1.0,0.8476834558136123,"['SFFH', 'FFHH', 'FFFF', 'FFHG']"
1,41,0,0.0,0.0,"['SFHF', 'HFFH', 'FHFF', 'FHHG']"
