Temperature,Simulations,Return,Discounted Return,Map
1,80,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'HHHF', 'HFHG']"
1,20,0,0.0,0.0,"['SHFF', 'FHFH', 'FHFH', 'FFFG']"
1,52,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'FFHF', 'HHFG']"
1,51,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFF', 'HHFG']"
1,44,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'HFFF', 'HFFG']"
1,62,0,1.0,0.9733217421754432,"['SFFH', 'FFFF', 'FHFF', 'HHHG']"
1,21,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'FHFF', 'FHFG']"
1,77,0,1.0,0.985089730404757,"['SHFH', 'FFFF', 'HFFF', 'HFFG']"
1,98,0,1.0,0.9502058312852957,"['SFFF', 'FFHF', 'FFHF', 'HFFG']"
1,14,0,0.0,0.0,"['SHFH', 'FFFF', 'FFHF', 'HFHG']"
1,3,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFH', 'FFFG']"
1,40,0,1.0,0.837556937769312,"['SFHF', 'FFFH', 'HHFF', 'FHFG']"
1,58,0,1.0,0.9762504936564125,"['SFHF', 'FFFH', 'FFFF', 'FHFG']"
1,72,0,1.0,0.9588092525966956,"['SFFF', 'HHFH', 'HHFF', 'FFFG']"
1,35,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HHHG']"
1,10,0,0.0,0.0,"['SFFH', 'HFFF', 'FHFF', 'HHHG']"
1,68,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HFHG']"
1,56,0,1.0,0.9530650263643888,"['SFFH', 'HFHH', 'FFFF', 'FHHG']"
1,18,0,1.0,0.860513950810667,"['SFHF', 'FHFF', 'FFHF', 'FFFG']"
1,67,0,1.0,0.985089730404757,"['SFFH', 'FFHH', 'FFHF', 'FFFG']"
1,41,0,1.0,0.9502058312852957,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,50,0,1.0,0.9588092525966956,"['SFHH', 'HFFH', 'FHFF', 'HFFG']"
1,82,0,1.0,0.9762504936564125,"['SFHH', 'FHHH', 'FFFF', 'FFFG']"
1,88,0,0.0,0.0,"['SHHH', 'FFHF', 'HFFF', 'FFHG']"
1,85,0,1.0,0.9416796087056153,"['SHFF', 'FFFH', 'HFFH', 'HHFG']"
1,39,0,0.0,0.0,"['SHHH', 'FFFH', 'FFHH', 'HFFG']"
1,95,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'HHFF', 'HHHG']"
1,40,0,1.0,0.9559328248389055,"['SFFH', 'HFFH', 'FFFF', 'FFHG']"
1,88,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HFFH', 'FHFG']"
1,40,0,1.0,0.90289112180858,"['SFFH', 'HHFF', 'HHHF', 'HHFG']"
1,9,0,0.0,0.0,"['SFFF', 'FFFH', 'HFFH', 'FFFG']"
1,33,0,1.0,0.747188804859888,"['SHFF', 'FFFF', 'HFHF', 'FHHG']"
1,92,0,1.0,0.9530650263643888,"['SFFF', 'FFHH', 'HFFF', 'HHFG']"
1,93,0,1.0,0.9588092525966956,"['SFHH', 'FFHF', 'FHFF', 'FFFG']"
1,55,0,1.0,0.9388545698794984,"['SFHH', 'HFHF', 'FFFF', 'FHFG']"
1,37,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHH', 'HFFG']"
1,37,0,1.0,0.9821344612135428,"['SHHH', 'FHHF', 'FFFF', 'FFFG']"
1,68,0,1.0,0.9821344612135428,"['SFFH', 'FFHH', 'FFFF', 'HHFG']"
1,72,0,0.0,0.0,"['SHHF', 'FFFH', 'HHFF', 'FHFG']"
1,17,0,1.0,0.9445131481500655,"['SFFF', 'FFHH', 'HFFF', 'HFFG']"
1,32,0,1.0,0.8788035596734672,"['SFFH', 'HHFF', 'FFHF', 'HHHG']"
1,48,0,1.0,0.7746195551602378,"['SFHH', 'FFHF', 'FFFH', 'HHFG']"
1,45,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'FFFG']"
1,57,0,1.0,0.9588092525966956,"['SFFH', 'FHHH', 'FFFH', 'HFFG']"
1,87,0,1.0,0.860513950810667,"['SHHH', 'FFFF', 'FHFF', 'FHHG']"
1,37,0,1.0,0.93603800616986,"['SFFH', 'FFHH', 'HFFF', 'HHFG']"
1,63,0,1.0,0.7746195551602378,"['SHHH', 'FFHH', 'HFFH', 'HHFG']"
1,54,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'HFFH', 'FFFG']"
1,48,0,1.0,0.985089730404757,"['SFHF', 'HFFF', 'HHFF', 'FFFG']"
1,94,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'FFHF', 'HFFG']"
1,72,0,1.0,0.9762504936564125,"['SFHF', 'HFHF', 'FFFF', 'HFHG']"
1,13,0,1.0,0.9332298921513504,"['SFFF', 'FFHF', 'FHFF', 'HFHG']"
1,68,0,1.0,0.985089730404757,"['SFFH', 'FHFH', 'HFFF', 'FHFG']"
1,68,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'FHFF', 'FHFG']"
1,87,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'FHFF', 'HFFG']"
1,23,0,0.0,0.0,"['SHFF', 'FFFH', 'FFFF', 'HHHG']"
1,40,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HFHG']"
1,41,0,1.0,0.8657003616774767,"['SFFH', 'FHFH', 'HHFF', 'HFFG']"
1,44,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HHFF', 'FHFG']"
1,58,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HHHF', 'FHFG']"
1,19,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFF', 'HHHG']"
1,86,0,1.0,0.9704017769489168,"['SHHH', 'FFFH', 'FFHF', 'HFFG']"
1,47,0,1.0,0.9616943356035061,"['SFFF', 'FHFH', 'HHFF', 'HHFG']"
1,23,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'FFFF', 'FFFG']"
1,88,0,1.0,0.9821344612135428,"['SFFF', 'FHHF', 'HHFF', 'FHHG']"
1,28,0,1.0,0.7427123967299725,"['SFHF', 'HFFF', 'FHFH', 'HHFG']"
1,3,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHF', 'FHHG']"
1,70,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FHFF', 'HHFG']"
1,45,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFHF', 'FFFG']"
1,2,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'FHFG']"
1,36,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'FFFH', 'FFFG']"
1,14,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'HFFG']"
1,65,0,1.0,0.9388545698794984,"['SFFF', 'HHHF', 'HHFF', 'FHHG']"
1,69,0,1.0,0.985089730404757,"['SFHH', 'HFHH', 'FFFF', 'HFFG']"
1,60,0,1.0,0.9821344612135428,"['SHHF', 'FFHF', 'HFFH', 'FFFG']"
1,20,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'HHHG']"
1,10,0,1.0,0.9304302024748964,"['SFFH', 'HFFF', 'FFFF', 'FHHG']"
1,89,0,1.0,0.9445131481500655,"['SFFH', 'HHFF', 'FFHF', 'FFFG']"
1,10,0,0.0,0.0,"['SHHH', 'FFFF', 'FFFH', 'FHFG']"
1,50,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'FFHG']"
1,77,0,1.0,0.9332298921513504,"['SFFF', 'HFHH', 'HFHF', 'FFFG']"
1,35,0,1.0,0.9138075656044898,"['SHFF', 'FHFH', 'FFFH', 'HHFG']"
1,76,0,1.0,0.9332298921513504,"['SFHF', 'FHHH', 'FFFH', 'FHFG']"
1,74,0,1.0,0.9821344612135428,"['SHFH', 'FFHH', 'HFFF', 'FFFG']"
1,81,0,1.0,0.9502058312852957,"['SFFF', 'HFHF', 'HHFF', 'FHFG']"
1,70,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFH', 'FHFG']"
1,52,0,1.0,0.9220814271464737,"['SHFF', 'FFFF', 'HFFH', 'HFFG']"
1,97,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'FHFF', 'HHFG']"
1,26,0,1.0,0.8054737627981655,"['SHFH', 'FFFF', 'FHFH', 'FFFG']"
1,8,0,1.0,0.8631032605924442,"['SFFF', 'FFHF', 'FFFF', 'HHHG']"
1,59,0,1.0,0.9791880578299021,"['SFFF', 'FHHF', 'FHHF', 'HHFG']"
1,99,0,1.0,0.9248559951318693,"['SFFH', 'FHFF', 'FFHF', 'HHHG']"
1,28,0,1.0,0.837556937769312,"['SFHH', 'FFHF', 'FFHH', 'HFFG']"
1,2,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFF', 'HFHG']"
1,32,0,1.0,0.8894287717672626,"['SFFH', 'FHFF', 'HFFH', 'HHFG']"
1,23,0,1.0,0.9416796087056153,"['SFFH', 'HFFH', 'FFFH', 'FFFG']"
1,29,0,1.0,0.9616943356035061,"['SFHH', 'FHHF', 'FFFH', 'FFFG']"
1,86,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFH', 'HHFG']"
1,63,0,1.0,0.9733217421754432,"['SFFH', 'HHFH', 'HFFF', 'HFFG']"
1,37,0,1.0,0.93603800616986,"['SFFF', 'HFFH', 'FFFF', 'FHHG']"
1,9,0,0.0,0.0,"['SHHH', 'FFFH', 'HFFH', 'FHFG']"
1,25,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFH', 'HHFG']"
1,65,0,1.0,0.9473552137914398,"['SFFH', 'HHFF', 'FFHF', 'HFFG']"
1,19,0,1.0,0.8947894553945313,"['SFFH', 'HHFF', 'HHHF', 'FHHG']"
1,98,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HHFF', 'HFHG']"
1,59,0,0.0,0.0,"['SHHH', 'FFFF', 'FHHF', 'FHHG']"
1,15,0,0.0,0.0,"['SFHF', 'FFHH', 'HFFF', 'HFHG']"
1,58,0,1.0,0.9193151828650342,"['SFFH', 'HFFH', 'FHFH', 'HFFG']"
1,4,0,0.0,0.0,"['SFFF', 'HFHF', 'FFHH', 'HFFG']"
1,64,0,1.0,0.9645880999032158,"['SFHH', 'FFHF', 'HFHF', 'HFFG']"
1,39,0,1.0,0.8657003616774767,"['SFFF', 'FFFH', 'FHHH', 'FFFG']"
1,62,0,0.0,0.0,"['SFHH', 'HFFH', 'HHFF', 'HFHG']"
1,62,0,1.0,0.9645880999032158,"['SFFH', 'FFFH', 'HHFF', 'FHHG']"
1,2,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFH', 'HHFG']"
1,67,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHHF', 'FHFG']"
1,73,0,0.0,0.0,"['SFHH', 'FFFF', 'HHHF', 'FHFG']"
1,13,0,1.0,0.8300415167526705,"['SFFF', 'HFFH', 'FHFH', 'FFFG']"
1,63,0,1.0,0.9332298921513504,"['SFFH', 'FHFH', 'HHFF', 'FHHG']"
1,31,0,1.0,0.9304302024748964,"['SFFF', 'HHFH', 'FFFF', 'HFFG']"
1,47,0,0.0,0.0,"['SHFF', 'FFFH', 'HFHH', 'HFFG']"
1,79,0,1.0,0.9821344612135428,"['SFHF', 'HFFH', 'FFFF', 'HHFG']"
1,70,0,1.0,0.9588092525966956,"['SFFH', 'FFFF', 'FFHH', 'FFFG']"
1,90,0,1.0,0.9530650263643888,"['SHHH', 'FFHH', 'HFFH', 'HFFG']"
1,66,0,1.0,0.8553586117313603,"['SFHH', 'HFHF', 'HFFF', 'FFHG']"
1,40,0,1.0,0.9276389118674717,"['SFFH', 'FFHH', 'FFFH', 'HFFG']"
1,88,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'FHFF', 'FHHG']"
1,45,0,1.0,0.9332298921513504,"['SFFH', 'HHFH', 'HHFF', 'FFHG']"
1,70,0,1.0,0.9110661429076764,"['SFFH', 'HFHH', 'FFFF', 'FHHG']"
1,45,0,1.0,0.9645880999032158,"['SHFF', 'FHHH', 'FFFF', 'HFFG']"
1,26,0,0.0,0.0,"['SFHH', 'HFHH', 'HFHH', 'FFFG']"
1,64,0,1.0,0.9821344612135428,"['SFFF', 'HFFH', 'FFFF', 'FFFG']"
1,72,0,1.0,0.9733217421754432,"['SFFH', 'FFHH', 'FFFF', 'HFFG']"
1,58,0,1.0,0.9616943356035061,"['SFFF', 'HHHF', 'FFFF', 'FHFG']"
1,25,0,1.0,0.8788035596734672,"['SHFF', 'FFFF', 'FFHF', 'HFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FHFF', 'FHFF', 'FFHG']"
1,37,0,0.0,0.0,"['SFHF', 'HFFF', 'HHFH', 'HHFG']"
1,21,0,0.0,0.0,"['SFHH', 'HFFF', 'HFHF', 'HHFG']"
1,40,0,1.0,0.9445131481500655,"['SFFF', 'HFFH', 'HFFF', 'FHFG']"
1,24,0,1.0,0.7722956964947572,"['SHFF', 'FFFF', 'FHFF', 'FHHG']"
1,80,0,1.0,0.9821344612135428,"['SHFF', 'FFHF', 'FFFF', 'HFFG']"
1,31,0,1.0,0.9588092525966956,"['SFHF', 'FFHH', 'FFFF', 'HFFG']"
1,29,0,1.0,0.9645880999032158,"['SFFH', 'HFHF', 'HFFF', 'HFFG']"
1,67,0,1.0,0.9473552137914398,"['SFFH', 'FFFF', 'HHHF', 'HHHG']"
1,81,0,0.0,0.0,"['SFFF', 'FHFF', 'FFHH', 'HFFG']"
1,36,0,1.0,0.9616943356035061,"['SFFH', 'FHFF', 'HFFF', 'HFFG']"
1,64,0,1.0,0.9674905716180701,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,2,0,0.0,0.0,"['SFFH', 'HFHH', 'FFFH', 'FFFG']"
1,99,0,1.0,0.9165572373164391,"['SFHF', 'HFFF', 'FHHF', 'FFHG']"
1,47,0,1.0,0.9762504936564125,"['SFFF', 'FHFF', 'HFFF', 'HFHG']"
1,56,0,0.0,0.0,"['SFFH', 'FHFF', 'FFHH', 'HFFG']"
1,98,0,1.0,0.9616943356035061,"['SFFF', 'HFFF', 'FHHF', 'HFFG']"
1,32,0,0.0,0.0,"['SFHF', 'FHHH', 'FFHF', 'HFFG']"
1,77,0,0.0,0.0,"['SHFH', 'FFFH', 'HHFF', 'HHHG']"
1,72,0,1.0,0.9762504936564125,"['SHFF', 'FFFF', 'HFFH', 'HFFG']"
1,19,0,0.0,0.0,"['SHFH', 'FFFF', 'HHHF', 'HHFG']"
1,51,0,1.0,0.9616943356035061,"['SFHF', 'FHHF', 'FFFF', 'FFFG']"
1,91,0,1.0,0.9616943356035061,"['SFFF', 'FFHH', 'FFHH', 'HFFG']"
1,30,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFH', 'FHFG']"
1,89,0,1.0,0.9791880578299021,"['SFHH', 'FFHF', 'HFFF', 'HHFG']"
1,19,0,0.0,0.0,"['SFFF', 'FHHH', 'FFHH', 'HFFG']"
1,18,0,1.0,0.9645880999032158,"['SFFF', 'HHHF', 'FFHF', 'FHFG']"
1,93,0,1.0,0.985089730404757,"['SFHH', 'FHFF', 'FFHF', 'FFFG']"
1,66,0,1.0,0.9559328248389055,"['SFFF', 'HHHF', 'FHFF', 'HHFG']"
1,8,0,1.0,0.9530650263643888,"['SFHH', 'FFFF', 'HFFF', 'FFFG']"
1,13,0,1.0,0.798246224976786,"['SHFF', 'FHFF', 'FFHF', 'FFFG']"
1,12,0,1.0,0.835044266956004,"['SFHH', 'HFHF', 'FFFF', 'FFFG']"
1,20,0,1.0,0.9473552137914398,"['SFHH', 'HFHH', 'FFFH', 'FFFG']"
1,55,0,1.0,0.8788035596734672,"['SFHH', 'FFFF', 'FFFH', 'HHFG']"
1,40,0,1.0,0.9821344612135428,"['SFHH', 'FFHF', 'FFFF', 'HFFG']"
1,87,0,1.0,0.985089730404757,"['SFFH', 'FHFF', 'FHHF', 'FFFG']"
1,24,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'FFHG']"
1,94,0,1.0,0.8761671489944468,"['SHFF', 'FFHF', 'HFHF', 'HFFG']"
1,75,0,1.0,0.9588092525966956,"['SFHF', 'FHFF', 'FFFF', 'HFFG']"
1,45,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'FFFH', 'HFFG']"
1,63,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'FFFF', 'FHHG']"
1,17,0,1.0,0.9248559951318693,"['SFFF', 'HHHF', 'HHFF', 'HHHG']"
1,59,0,1.0,0.9821344612135428,"['SFHF', 'HFFF', 'HFFF', 'HHFG']"
1,25,0,1.0,0.7539540549517295,"['SFFH', 'FFFH', 'FHFH', 'FHFG']"
1,29,0,1.0,0.9762504936564125,"['SFFF', 'HFHF', 'FHFF', 'FFHG']"
1,37,0,1.0,0.9193151828650342,"['SFFH', 'HHFF', 'HFFH', 'FFFG']"
1,27,0,1.0,0.9001824484431542,"['SFFH', 'FFFH', 'FFFF', 'FHHG']"
1,36,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFH', 'HFFG']"
1,70,0,1.0,0.9791880578299021,"['SFFH', 'HHFF', 'FHFF', 'FHHG']"
1,53,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'HHHG']"
1,62,0,1.0,0.7607805594527743,"['SFHH', 'FFHF', 'HFFF', 'FHHG']"
1,67,0,0.0,0.0,"['SHFH', 'FFFH', 'HFFF', 'FFHG']"
1,37,0,1.0,0.985089730404757,"['SFFF', 'FFHF', 'FFFF', 'HFFG']"
1,61,0,1.0,0.9704017769489168,"['SFHH', 'FFFF', 'HHFF', 'FFHG']"
1,73,0,1.0,0.9762504936564125,"['SFFH', 'FFHH', 'FFFF', 'FFFG']"
1,95,0,1.0,0.7494371162085136,"['SHHF', 'FFHF', 'HFFH', 'HHFG']"
1,53,0,1.0,0.9821344612135428,"['SHHF', 'FHFH', 'FFFF', 'FHFG']"
1,26,0,1.0,0.90289112180858,"['SFHH', 'FFHH', 'FFHF', 'FFFG']"
1,10,0,1.0,0.8814479033836181,"['SFFF', 'FHFF', 'FHFF', 'FFHG']"
1,33,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FFFF', 'HHFG']"
1,41,0,1.0,0.9733217421754432,"['SFFF', 'FFFF', 'HFHF', 'FFFG']"
1,84,0,1.0,0.93603800616986,"['SFFH', 'FHFF', 'HFFH', 'FHFG']"
1,20,0,1.0,0.9559328248389055,"['SFFH', 'HFFF', 'HFFH', 'FFFG']"
1,20,0,0.0,0.0,"['SFHH', 'FFFF', 'FFFH', 'FHFG']"
1,27,0,1.0,0.9616943356035061,"['SHHH', 'FHHF', 'FFFH', 'FFFG']"
1,25,0,1.0,0.9704017769489168,"['SFFF', 'FHHF', 'FFFF', 'FHFG']"
1,91,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFF', 'HHHG']"
1,70,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'FHFF', 'FHHG']"
1,37,0,1.0,0.9588092525966956,"['SFFF', 'HHHF', 'FHFF', 'HFHG']"
1,3,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHFG']"
1,82,0,1.0,0.857932408958235,"['SFHF', 'HFFF', 'FHHF', 'HFFG']"
1,70,0,1.0,0.9616943356035061,"['SFHF', 'HFHF', 'FFFF', 'HFHG']"
1,8,0,0.0,0.0,"['SFFF', 'HFFF', 'FFFH', 'FHFG']"
1,77,0,1.0,0.985089730404757,"['SHHF', 'FFHF', 'FFHF', 'FFFG']"
1,80,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'FFHF', 'FHHG']"
1,96,0,1.0,0.9616943356035061,"['SFFH', 'HFHH', 'HFFF', 'FFFG']"
1,58,0,1.0,0.9704017769489168,"['SFFH', 'FFHH', 'FFFF', 'FFHG']"
1,89,0,1.0,0.9762504936564125,"['SFFF', 'HHFF', 'FFHF', 'HHFG']"
1,34,0,0.0,0.0,"['SHHF', 'FHHF', 'FFFH', 'HHFG']"
1,36,0,0.0,0.0,"['SFHF', 'FHFF', 'FFFF', 'HHHG']"
1,89,0,1.0,0.9704017769489168,"['SFFH', 'FHHF', 'FFFF', 'FHHG']"
1,7,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFF', 'FFHG']"
1,68,0,1.0,0.985089730404757,"['SFFH', 'FFFF', 'FFFF', 'HHHG']"
1,77,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HHFF', 'HHHG']"
1,85,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FHFF', 'HFFG']"
1,30,0,1.0,0.8152123778407558,"['SFFH', 'FHFH', 'HHFF', 'HFHG']"
1,35,0,0.0,0.0,"['SFHF', 'HFFF', 'FHHF', 'HFHG']"
1,52,0,0.0,0.0,"['SHFH', 'FHHH', 'FFFF', 'HHFG']"
1,58,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'FFHF', 'FFFG']"
1,89,0,1.0,0.8947894553945313,"['SFFH', 'FHFH', 'FHFF', 'FFHG']"
1,58,0,1.0,0.9530650263643888,"['SFHH', 'FHHH', 'FFFF', 'HFFG']"
1,100,0,1.0,0.9588092525966956,"['SHHF', 'FFFF', 'HHFF', 'FHHG']"
1,40,0,1.0,0.8127667407072335,"['SFHF', 'FFHF', 'HFFH', 'HHFG']"
1,26,0,1.0,0.9645880999032158,"['SFHF', 'FFHH', 'FFFF', 'FHFG']"
1,21,0,0.0,0.0,"['SFHH', 'HFFF', 'FFFH', 'FHFG']"
1,81,0,1.0,0.9530650263643888,"['SFFF', 'HHHF', 'FFHF', 'FHHG']"
1,12,0,1.0,0.9248559951318693,"['SFFF', 'HHFF', 'FHFF', 'HHHG']"
1,19,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'FHHF', 'FHFG']"
1,13,0,0.0,0.0,"['SHFF', 'FHHF', 'FHFF', 'FFFG']"
1,7,0,1.0,0.93603800616986,"['SFFF', 'FFHF', 'FFFF', 'HFFG']"
1,28,0,1.0,0.9165572373164391,"['SFFH', 'FHHH', 'FFFF', 'HFFG']"
1,86,0,1.0,0.9733217421754432,"['SHHH', 'FHFF', 'FFFF', 'FFFG']"
1,54,0,1.0,0.9704017769489168,"['SFFH', 'HFHF', 'HFFF', 'FHFG']"
1,33,0,1.0,0.8761671489944468,"['SFFH', 'FHFF', 'HFHF', 'HHHG']"
1,57,0,1.0,0.9165572373164391,"['SFFH', 'HHFH', 'HFFH', 'HHFG']"
1,71,0,1.0,0.9762504936564125,"['SFFF', 'HHFH', 'HFFH', 'FFFG']"
1,9,0,0.0,0.0,"['SFFF', 'FFHH', 'FFHH', 'FFFG']"
1,98,0,1.0,0.9762504936564125,"['SFHH', 'FFFH', 'HFFF', 'FFFG']"
1,87,0,1.0,0.985089730404757,"['SFFH', 'HFHH', 'FFFH', 'HFFG']"
1,48,0,1.0,0.9616943356035061,"['SFHH', 'HFHH', 'HFFF', 'FFFG']"
1,78,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'HHFF', 'HHFG']"
1,100,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FFFH', 'FFFG']"
1,2,0,0.0,0.0,"['SHHH', 'FFFH', 'FHFF', 'HHHG']"
1,82,0,1.0,0.9473552137914398,"['SFFH', 'HHFH', 'HFFH', 'FFFG']"
1,32,0,1.0,0.9821344612135428,"['SFFF', 'HHFF', 'FFHF', 'HHHG']"
1,24,0,0.0,0.0,"['SHFH', 'FFHF', 'HFHH', 'FFFG']"
1,83,0,1.0,0.7653658663581259,"['SFFH', 'HFHH', 'HFFF', 'FHHG']"
1,82,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'HHFH', 'FHFG']"
1,25,0,1.0,0.8527925358961662,"['SFFH', 'FFFF', 'HHHF', 'HFHG']"
1,72,0,1.0,0.9733217421754432,"['SFFH', 'HHFH', 'FFFH', 'HFFG']"
1,84,0,1.0,0.9821344612135428,"['SFHH', 'FFFF', 'FFFF', 'FHFG']"
1,96,0,1.0,0.9791880578299021,"['SHHH', 'FHHH', 'FFHH', 'FFFG']"
1,75,0,1.0,0.8275513922024125,"['SFFF', 'HFHH', 'FFFH', 'HHFG']"
1,19,0,1.0,0.9530650263643888,"['SFFF', 'HFHF', 'HFFF', 'HFFG']"
1,44,0,1.0,0.985089730404757,"['SHFF', 'FHHF', 'FFFF', 'FFFG']"
1,55,0,1.0,0.9248559951318693,"['SFHF', 'HFHH', 'HFHH', 'HFFG']"
1,54,0,0.0,0.0,"['SFHF', 'FHHH', 'FFFF', 'HFHG']"
1,8,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFH', 'FHFG']"
1,59,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHH', 'HFFG']"
1,78,0,1.0,0.93603800616986,"['SFFF', 'FFHF', 'FHFF', 'HHFG']"
1,14,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFF', 'HFHG']"
