Temperature,Simulations,Return,Discounted Return,Map
1,74,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'HFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SFHF', 'HFHH', 'HFFH', 'HHFG']"
1,56,0,1.0,0.9674905716180701,"['SHFH', 'FFHF', 'FFFF', 'FHFG']"
1,74,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'HFFF', 'HFFG']"
1,41,0,1.0,0.9220814271464737,"['SHFF', 'FHFF', 'FHFH', 'FFFG']"
1,21,0,1.0,0.8275513922024125,"['SFFH', 'HFFF', 'HHHF', 'HFFG']"
1,62,0,1.0,0.9083329444789534,"['SFFH', 'HFHH', 'FFFF', 'FFFG']"
1,74,0,1.0,0.9616943356035061,"['SFHH', 'HFFH', 'FHFH', 'FHFG']"
1,57,0,1.0,0.9165572373164391,"['SHHF', 'FHHH', 'FHFH', 'FFFG']"
1,45,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HFFG']"
1,88,0,1.0,0.9733217421754432,"['SFFH', 'HFFF', 'FHHF', 'HHFG']"
1,30,0,1.0,0.9588092525966956,"['SFFF', 'FHHF', 'HFFF', 'FFHG']"
1,16,0,0.0,0.0,"['SFHF', 'FFFF', 'HFFH', 'FFFG']"
1,74,0,1.0,0.9559328248389055,"['SHHF', 'FHFF', 'FHFF', 'FFFG']"
1,40,0,1.0,0.9445131481500655,"['SFFH', 'FHHF', 'FHFF', 'FFFG']"
1,95,0,1.0,0.9704017769489168,"['SFFF', 'FFHF', 'FHHF', 'FFFG']"
1,98,0,1.0,0.9445131481500655,"['SFFH', 'FFFH', 'FHFH', 'HFFG']"
1,97,0,1.0,0.9762504936564125,"['SHHH', 'FHHH', 'FFFF', 'FFFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFHH', 'FFFF', 'HFFG']"
1,22,0,0.0,0.0,"['SHHH', 'FHHH', 'FFFF', 'HFHG']"
1,14,0,0.0,0.0,"['SHFF', 'FFFF', 'HHFF', 'FFFG']"
1,35,0,1.0,0.9762504936564125,"['SFFH', 'HFFF', 'HHFF', 'HHFG']"
1,37,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'FFFH', 'FFFG']"
1,61,0,1.0,0.9530650263643888,"['SFHH', 'FFHF', 'HFHF', 'FFFG']"
1,20,0,1.0,0.985089730404757,"['SHHF', 'FFFF', 'HHHF', 'HHHG']"
1,34,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'HFHH', 'FFFG']"
1,81,0,1.0,0.9791880578299021,"['SFFF', 'HHFF', 'FHFF', 'HHFG']"
1,65,0,1.0,0.9445131481500655,"['SFFF', 'FHFF', 'HHFH', 'HFFG']"
1,19,0,1.0,0.9791880578299021,"['SFFH', 'HFFF', 'HFFF', 'FHFG']"
1,19,0,1.0,0.9388545698794984,"['SFFF', 'HHHF', 'HFFF', 'FHFG']"
1,68,0,1.0,0.9674905716180701,"['SFFF', 'HFFH', 'FFFH', 'HHFG']"
1,27,0,1.0,0.9083329444789534,"['SFFF', 'FFFH', 'FHFF', 'HHHG']"
1,28,0,0.0,0.0,"['SFHH', 'HFFH', 'FFFH', 'FHFG']"
1,36,0,0.0,0.0,"['SFHH', 'HFFF', 'FHHF', 'HFFG']"
1,25,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'HFFF', 'HFHG']"
1,56,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'HFFH', 'HFFG']"
1,75,0,1.0,0.9762504936564125,"['SFFH', 'FFFF', 'FFFH', 'HHFG']"
1,61,0,0.0,0.0,"['SHFH', 'FFHH', 'HFHF', 'HFFG']"
1,72,0,1.0,0.9762504936564125,"['SHHF', 'FFHF', 'FFFF', 'HFFG']"
1,36,0,1.0,0.9588092525966956,"['SFFF', 'HFFH', 'FFFF', 'HFFG']"
1,61,0,1.0,0.985089730404757,"['SFFH', 'FFFH', 'HHFF', 'FFFG']"
1,35,0,1.0,0.7887102894272789,"['SHHF', 'FHFF', 'FHHH', 'FFFG']"
1,67,0,1.0,0.9791880578299021,"['SFFF', 'FHFF', 'HFHF', 'FFHG']"
1,77,0,1.0,0.985089730404757,"['SFFH', 'HFHF', 'HFFF', 'HHFG']"
1,21,0,1.0,0.798246224976786,"['SFFH', 'HHFF', 'HHHF', 'FFFG']"
1,15,0,1.0,0.8553586117313603,"['SHHH', 'FFFH', 'FFFH', 'HFFG']"
1,7,0,1.0,0.8974819010978248,"['SFFH', 'FHFF', 'HHFF', 'HHFG']"
1,8,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFF', 'FHFG']"
1,6,0,0.0,0.0,"['SFHF', 'FFFF', 'HHHF', 'FHFG']"
1,74,0,1.0,0.9762504936564125,"['SHFH', 'FFFF', 'HHFH', 'FHFG']"
1,31,0,1.0,0.9001824484431542,"['SFFH', 'HFFF', 'FHHF', 'FHHG']"
1,25,0,0.0,0.0,"['SFHH', 'FFHH', 'HFFH', 'HHFG']"
1,2,0,0.0,0.0,"['SFFH', 'HFHF', 'HFHF', 'FFFG']"
1,24,0,1.0,0.9165572373164391,"['SFHF', 'FFFH', 'HHFF', 'HFFG']"
1,23,0,0.0,0.0,"['SFHF', 'FFFH', 'HHFH', 'HHFG']"
1,38,0,1.0,0.9445131481500655,"['SFFF', 'FFHF', 'HFFF', 'FFFG']"
1,62,0,1.0,0.8788035596734672,"['SFHH', 'FHFF', 'FFHF', 'HFFG']"
1,15,0,1.0,0.798246224976786,"['SFHH', 'HFFF', 'HFHF', 'HFFG']"
1,56,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'FFFF', 'HHHG']"
1,21,0,1.0,0.9473552137914398,"['SFHF', 'FFFF', 'FHHF', 'HFFG']"
1,30,0,0.0,0.0,"['SHHH', 'FHFH', 'FFFF', 'HHFG']"
1,64,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'HFFF', 'HFFG']"
1,51,0,1.0,0.8761671489944468,"['SHFF', 'FFFF', 'FFHF', 'FHHG']"
1,11,0,0.0,0.0,"['SHFH', 'FHFF', 'FFFF', 'HFHG']"
1,25,0,0.0,0.0,"['SFHH', 'FHFH', 'FHHH', 'FFFG']"
1,44,0,1.0,0.9220814271464737,"['SFFF', 'FHFH', 'HFFF', 'HHHG']"
1,98,0,1.0,0.9165572373164391,"['SHHH', 'FFFF', 'FFFH', 'HHFG']"
1,22,0,0.0,0.0,"['SHHF', 'FHFH', 'FFFF', 'HHFG']"
