Temperature,Simulations,Return,Discounted Return,Map
1,13,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'HFFF', 'FFHG']"
1,78,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'HFFF', 'HFHG']"
1,97,0,1.0,0.9704017769489168,"['SFFH', 'HHFF', 'HHHF', 'HFFG']"
1,57,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HHHG']"
1,61,0,1.0,0.9248559951318693,"['SFFF', 'FHHF', 'FFFF', 'FFHG']"
1,26,0,1.0,0.7630697687590515,"['SFHH', 'FFFF', 'HHHF', 'HFHG']"
1,9,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFH', 'HHFG']"
1,19,0,1.0,0.9821344612135428,"['SFFF', 'FFFF', 'HFFF', 'FFHG']"
1,9,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFF', 'HHHG']"
1,18,0,0.0,0.0,"['SFFH', 'HHFF', 'FHHF', 'FFHG']"
1,65,0,1.0,0.9704017769489168,"['SFHH', 'HFFF', 'FHFF', 'HHHG']"
1,7,0,0.0,0.0,"['SHFF', 'FHHF', 'FFFF', 'FHHG']"
1,62,0,0.0,0.0,"['SFFF', 'FHHH', 'FFFF', 'HHHG']"
1,51,0,1.0,0.8400771692771434,"['SFFH', 'FFHF', 'HFHF', 'FFFG']"
1,96,0,1.0,0.9791880578299021,"['SHHF', 'FHFH', 'FFHF', 'FFFG']"
1,26,0,1.0,0.9616943356035061,"['SFFF', 'FHFF', 'FHFF', 'HHHG']"
1,49,0,1.0,0.9502058312852957,"['SFFH', 'HFFH', 'FFFH', 'FHFG']"
1,4,0,0.0,0.0,"['SHFF', 'FFFF', 'FHHF', 'HFFG']"
1,75,0,1.0,0.9733217421754432,"['SFFF', 'HHHF', 'FFHF', 'HHFG']"
1,53,0,1.0,0.9645880999032158,"['SFHH', 'HFHH', 'FFFF', 'FHFG']"
1,83,0,1.0,0.9616943356035061,"['SFFF', 'HFHF', 'HFFF', 'HHHG']"
1,56,0,1.0,0.8735386475474635,"['SFHF', 'FFHF', 'HFFF', 'FFHG']"
1,7,0,0.0,0.0,"['SFHF', 'HFFH', 'HFFF', 'HFHG']"
1,41,0,1.0,0.9616943356035061,"['SHHF', 'FHHH', 'FFFH', 'FFFG']"
1,9,0,0.0,0.0,"['SHFF', 'FFFH', 'FHFF', 'FFFG']"
1,24,0,1.0,0.9388545698794984,"['SHHF', 'FFFH', 'HFFF', 'FFFG']"
1,51,0,0.0,0.0,"['SFHH', 'FHFF', 'FFFH', 'HHFG']"
1,86,0,1.0,0.8527925358961662,"['SHFF', 'FFFH', 'HHFF', 'HFHG']"
1,30,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'HHFG']"
1,18,0,0.0,0.0,"['SFHH', 'HFHF', 'HFHF', 'FFFG']"
1,50,0,1.0,0.9645880999032158,"['SFFF', 'FHFF', 'HFFH', 'HFFG']"
1,70,0,1.0,0.9821344612135428,"['SHHH', 'FFFF', 'FFFF', 'HHHG']"
1,27,0,1.0,0.8894287717672626,"['SFHH', 'HFFF', 'HFHF', 'FFHG']"
1,10,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'HFHG']"
1,99,0,1.0,0.8867604854519608,"['SHHH', 'FHHF', 'FFHH', 'HFFG']"
1,31,0,1.0,0.9332298921513504,"['SFFF', 'HHFH', 'HHFH', 'FFFG']"
1,47,0,1.0,0.9821344612135428,"['SHFH', 'FFFF', 'FHFF', 'FFFG']"
1,65,0,1.0,0.9616943356035061,"['SFFH', 'HFFF', 'FHHF', 'HHFG']"
1,46,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HHFG']"
1,17,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'FFHG']"
1,89,0,1.0,0.9704017769489168,"['SHFF', 'FHFH', 'FHHH', 'FFFG']"
1,87,0,1.0,0.9110661429076764,"['SHHH', 'FFHH', 'FFHH', 'HFFG']"
1,55,0,1.0,0.9762504936564125,"['SFHF', 'FFFF', 'HFFF', 'HHFG']"
1,31,0,1.0,0.9791880578299021,"['SFHH', 'FFFF', 'FFFF', 'FHHG']"
1,49,0,1.0,0.9674905716180701,"['SFFF', 'HHFH', 'FHFF', 'HFFG']"
1,62,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFH', 'HHFG']"
1,87,0,1.0,0.9502058312852957,"['SFHF', 'FFFH', 'HFFH', 'HHFG']"
1,56,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'HFFH', 'FHFG']"
1,97,0,1.0,0.9445131481500655,"['SFHF', 'FHHH', 'FFFF', 'HHFG']"
