Temperature,Simulations,Return,Discounted Return,Map
1,77,0,1.0,0.9762504936564125,"['SFFF', 'FFFF', 'FFFF', 'FFHG']"
1,37,0,1.0,0.9616943356035061,"['SFFF', 'HFFF', 'HFFF', 'FHHG']"
1,28,0,1.0,0.9588092525966956,"['SHFF', 'FHHF', 'FFFF', 'FFFG']"
1,10,0,0.0,0.0,"['SHFH', 'FHHF', 'FFHF', 'HFFG']"
1,17,0,0.0,0.0,"['SHHF', 'FFHF', 'HFFF', 'HHFG']"
1,51,0,1.0,0.9645880999032158,"['SFFF', 'FFFH', 'FHFF', 'FHFG']"
1,8,0,0.0,0.0,"['SFHH', 'FFHF', 'FFFF', 'HHFG']"
1,69,0,1.0,0.8788035596734672,"['SFFH', 'FHHH', 'FFFH', 'HHFG']"
1,81,0,1.0,0.9821344612135428,"['SFFF', 'HFHH', 'FFHH', 'FFFG']"
1,15,0,1.0,0.8894287717672626,"['SFHH', 'HFFF', 'FFFF', 'FHHG']"
1,39,0,1.0,0.9821344612135428,"['SFFF', 'HFHF', 'FFFF', 'HFFG']"
1,14,0,0.0,0.0,"['SHHF', 'FFHF', 'FHHH', 'FFFG']"
1,2,0,0.0,0.0,"['SFFH', 'FFFH', 'FHFF', 'FFFG']"
1,52,0,1.0,0.90289112180858,"['SFHF', 'FFFH', 'HFHF', 'HFFG']"
1,79,0,1.0,0.9616943356035061,"['SFFH', 'HFHH', 'FFFF', 'FFHG']"
1,63,0,1.0,0.9791880578299021,"['SFFF', 'HHFH', 'HFFF', 'FHFG']"
1,86,0,1.0,0.9762504936564125,"['SHHF', 'FFFH', 'HFFF', 'FHFG']"
1,5,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFH', 'HHFG']"
1,99,0,1.0,0.9332298921513504,"['SFHF', 'FHFF', 'FFFF', 'HHHG']"
1,57,0,1.0,0.9416796087056153,"['SFFH', 'FHFF', 'FHHF', 'HHFG']"
1,79,0,1.0,0.985089730404757,"['SFHH', 'FHHH', 'FFFH', 'FFFG']"
1,86,0,1.0,0.9588092525966956,"['SFFH', 'HFHH', 'FFFH', 'HFFG']"
1,8,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHH', 'FFFG']"
1,91,0,1.0,0.9056079456455165,"['SFFF', 'FHFH', 'HHFF', 'HHHG']"
1,21,0,0.0,0.0,"['SFHH', 'HFHH', 'HFFH', 'FHFG']"
1,11,0,1.0,0.7887102894272789,"['SHHH', 'FFHF', 'FFHH', 'FFFG']"
1,8,0,0.0,0.0,"['SHFF', 'FHFF', 'FFHH', 'FFFG']"
1,38,0,1.0,0.857932408958235,"['SFHF', 'HFFF', 'FFHF', 'HHHG']"
1,16,0,1.0,0.9502058312852957,"['SFHF', 'HFFF', 'HFFF', 'FHFG']"
1,28,0,0.0,0.0,"['SHFF', 'FFFF', 'FFHF', 'HFHG']"
1,64,0,1.0,0.93603800616986,"['SFHH', 'FFHF', 'FHHH', 'FFFG']"
1,85,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FHHF', 'HFHG']"
1,24,0,1.0,0.9056079456455165,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,33,0,1.0,0.9762504936564125,"['SFFH', 'FHFF', 'FFFF', 'HFHG']"
1,58,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'FHHG']"
1,56,0,1.0,0.8894287717672626,"['SFHF', 'FFHH', 'FHFF', 'FFFG']"
1,43,0,1.0,0.7516921927868743,"['SFHF', 'HFFH', 'HFHH', 'HFFG']"
1,5,0,0.0,0.0,"['SHHF', 'FHHH', 'FFFF', 'HFHG']"
1,72,0,1.0,0.8400771692771434,"['SFHH', 'HFFF', 'FFHF', 'HFHG']"
1,70,0,1.0,0.93603800616986,"['SFHF', 'FFHH', 'FFFF', 'HHHG']"
1,3,0,0.0,0.0,"['SFFF', 'FHHH', 'FFHH', 'HFFG']"
1,63,0,1.0,0.9762504936564125,"['SHHH', 'FFHF', 'FHFF', 'FFFG']"
1,63,0,1.0,0.9762504936564125,"['SHHH', 'FFFF', 'FHFF', 'HHFG']"
1,75,0,1.0,0.9821344612135428,"['SFFH', 'HFHH', 'FFFH', 'HFFG']"
1,17,0,1.0,0.798246224976786,"['SFHF', 'HFFF', 'HHFF', 'HFHG']"
1,21,0,1.0,0.9165572373164391,"['SHFF', 'FFFF', 'HFFF', 'FHFG']"
1,70,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFF', 'FHHG']"
1,8,0,0.0,0.0,"['SFHF', 'FFFF', 'HHFF', 'FFHG']"
1,6,0,1.0,0.9473552137914398,"['SFFF', 'FHFF', 'FHHF', 'HHFG']"
1,24,0,0.0,0.0,"['SFHH', 'FFFH', 'HHFF', 'FHHG']"
1,35,0,1.0,0.8127667407072335,"['SFFF', 'FHFH', 'HFFH', 'HFFG']"
1,28,0,0.0,0.0,"['SHHH', 'FHFH', 'FFHH', 'HFFG']"
1,97,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'FHHG']"
1,27,0,0.0,0.0,"['SHHH', 'FFFH', 'HHFH', 'FFFG']"
1,31,0,1.0,0.8426049842298329,"['SFFF', 'FFFH', 'FHHH', 'FFFG']"
1,61,0,0.0,0.0,"['SHHH', 'FFFF', 'FHFH', 'HHFG']"
1,35,0,1.0,0.985089730404757,"['SFFF', 'FFFF', 'FFHF', 'FHHG']"
1,70,0,0.0,0.0,"['SHHF', 'FFFF', 'HHFH', 'HFFG']"
1,51,0,1.0,0.9821344612135428,"['SHHH', 'FFHH', 'FFFH', 'FFFG']"
1,68,0,1.0,0.9588092525966956,"['SFFH', 'HFFF', 'FHFF', 'HFHG']"
1,36,0,1.0,0.8275513922024125,"['SFFF', 'FHFH', 'HFFF', 'FFHG']"
1,7,0,0.0,0.0,"['SFHH', 'FFHF', 'HFFH', 'HFFG']"
1,85,0,1.0,0.9248559951318693,"['SHHH', 'FFHH', 'HFFF', 'HHFG']"
1,61,0,1.0,0.9530650263643888,"['SFHH', 'FFHF', 'HFHF', 'HFFG']"
1,8,0,0.0,0.0,"['SHHF', 'FHFF', 'FFFF', 'FHFG']"
1,61,0,1.0,0.985089730404757,"['SHHH', 'FFHF', 'FFFF', 'FHFG']"
1,46,0,0.0,0.0,"['SHFH', 'FFFH', 'FHFF', 'HFHG']"
1,94,0,1.0,0.9559328248389055,"['SFHH', 'HFFH', 'HHFH', 'FFFG']"
1,64,0,1.0,0.9762504936564125,"['SHHF', 'FHHH', 'FFHH', 'FFFG']"
1,64,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'HHFH', 'HHFG']"
1,16,0,0.0,0.0,"['SFHF', 'HFFF', 'HHHF', 'HHHG']"
1,28,0,1.0,0.9559328248389055,"['SFFH', 'HFFH', 'FHFH', 'HHFG']"
1,75,0,1.0,0.9674905716180701,"['SFFH', 'HFHF', 'FFFH', 'HFFG']"
1,23,0,1.0,0.9791880578299021,"['SHHH', 'FFFF', 'FFFF', 'HHHG']"
1,15,0,1.0,0.9502058312852957,"['SHFH', 'FFHF', 'FFFF', 'FFFG']"
1,28,0,1.0,0.9733217421754432,"['SHFH', 'FFHH', 'FFHF', 'FFFG']"
1,9,0,1.0,0.9559328248389055,"['SFFF', 'FHHF', 'HHFF', 'HHHG']"
1,43,0,1.0,0.9588092525966956,"['SHFH', 'FFHF', 'FFFF', 'HHFG']"
1,18,0,0.0,0.0,"['SHFF', 'FFFH', 'HHFF', 'FFHG']"
1,68,0,1.0,0.9416796087056153,"['SHFF', 'FFFF', 'HHHF', 'HHHG']"
1,56,0,1.0,0.9559328248389055,"['SFFH', 'FFFF', 'HHFF', 'HFFG']"
1,44,0,1.0,0.9001824484431542,"['SHFH', 'FHHH', 'FFFF', 'HHFG']"
1,74,0,1.0,0.7958514863018556,"['SHFH', 'FHFF', 'FFFF', 'HHFG']"
1,59,0,0.0,0.0,"['SHHH', 'FFFF', 'HHHF', 'HHFG']"
1,38,0,1.0,0.9416796087056153,"['SFFH', 'FFFH', 'HFFF', 'FFHG']"
1,31,0,1.0,0.9733217421754432,"['SFFF', 'FHFF', 'FHFF', 'HHHG']"
1,52,0,1.0,0.9674905716180701,"['SFHH', 'FFHF', 'FFFH', 'HFFG']"
1,89,0,1.0,0.9704017769489168,"['SFHF', 'HFHF', 'FFFF', 'HHFG']"
1,89,0,1.0,0.985089730404757,"['SFFF', 'HFFF', 'HFHF', 'HHHG']"
1,24,0,0.0,0.0,"['SFHH', 'HFHH', 'FFFH', 'FHFG']"
1,30,0,1.0,0.8476834558136123,"['SHHH', 'FFFF', 'FFFF', 'FHHG']"
1,40,0,1.0,0.9704017769489168,"['SFFF', 'HHFF', 'HFFF', 'HFFG']"
1,48,0,1.0,0.985089730404757,"['SHFH', 'FHHF', 'FFFH', 'FFFG']"
1,95,0,1.0,0.985089730404757,"['SFHH', 'FFFH', 'FHFF', 'HHFG']"
1,14,0,0.0,0.0,"['SFHF', 'HFFF', 'HFHH', 'HFFG']"
1,96,0,1.0,0.9821344612135428,"['SHHF', 'FHFF', 'FHHH', 'FFFG']"
1,48,0,1.0,0.8947894553945313,"['SFFF', 'FFFH', 'FHFH', 'HHFG']"
1,78,0,1.0,0.9821344612135428,"['SHHH', 'FFFH', 'HFFF', 'HFFG']"
1,37,0,1.0,0.9193151828650342,"['SFHH', 'FFFH', 'HHFF', 'FFFG']"
1,71,0,1.0,0.9674905716180701,"['SFFF', 'FHHF', 'HHHF', 'HHHG']"
1,31,0,1.0,0.9733217421754432,"['SHHH', 'FFFF', 'FFFF', 'FFFG']"
1,8,0,0.0,0.0,"['SHFF', 'FFFF', 'HFHF', 'HFHG']"
1,13,0,1.0,0.9001824484431542,"['SHFH', 'FFFF', 'FFHF', 'FFFG']"
1,2,0,0.0,0.0,"['SFHF', 'HFFF', 'FHFF', 'HHFG']"
1,89,0,1.0,0.9821344612135428,"['SFFF', 'FHFF', 'HHHF', 'HHHG']"
1,92,0,1.0,0.9821344612135428,"['SHHH', 'FHHH', 'FFFF', 'FFFG']"
1,23,0,1.0,0.9530650263643888,"['SFFF', 'HFFF', 'HFFH', 'FFFG']"
1,83,0,1.0,0.9138075656044898,"['SFFH', 'FFFH', 'FFHF', 'HFFG']"
1,11,0,0.0,0.0,"['SFFH', 'HFFF', 'HFHH', 'FFFG']"
1,8,0,0.0,0.0,"['SFFH', 'HHFH', 'FHFF', 'FFFG']"
1,89,0,1.0,0.857932408958235,"['SFHF', 'HFFH', 'FHFF', 'FHHG']"
1,59,0,1.0,0.985089730404757,"['SFFF', 'HHFF', 'FHHF', 'HHHG']"
1,5,0,0.0,0.0,"['SFFF', 'HFHF', 'FFFF', 'FFFG']"
1,27,0,1.0,0.9473552137914398,"['SFHF', 'HFFF', 'FHFF', 'FHFG']"
1,95,0,1.0,0.9821344612135428,"['SHFF', 'FFFH', 'FFFF', 'HHHG']"
1,21,0,1.0,0.9332298921513504,"['SFFF', 'HHFF', 'HFHF', 'FFFG']"
1,45,0,1.0,0.9762504936564125,"['SFFF', 'HHHF', 'HHFF', 'FFFG']"
1,37,0,1.0,0.9056079456455165,"['SHFH', 'FFHH', 'HFFF', 'HFFG']"
1,95,0,1.0,0.9762504936564125,"['SHHF', 'FFFH', 'HFFF', 'FHFG']"
1,71,0,1.0,0.9762504936564125,"['SHHH', 'FFFH', 'HFFF', 'HFFG']"
1,35,0,1.0,0.9704017769489168,"['SHHF', 'FHFF', 'FFHH', 'FFFG']"
1,98,0,1.0,0.9733217421754432,"['SHFF', 'FFFF', 'FFHF', 'HFHG']"
1,29,0,1.0,0.9645880999032158,"['SFFF', 'FFHF', 'HHHF', 'HHHG']"
1,84,0,1.0,0.9530650263643888,"['SFFH', 'FHFH', 'FHFF', 'HHHG']"
1,96,0,1.0,0.985089730404757,"['SFHF', 'FHFH', 'FFHH', 'FFFG']"
1,65,0,1.0,0.9821344612135428,"['SFFH', 'HFFF', 'HHHF', 'FHHG']"
1,8,0,0.0,0.0,"['SHHF', 'FFHF', 'FFFF', 'HHFG']"
1,49,0,0.0,0.0,"['SHHF', 'FFFF', 'FFHF', 'FFHG']"
1,19,0,1.0,0.9332298921513504,"['SFFH', 'FFFF', 'HFFH', 'HHFG']"
1,63,0,1.0,0.9588092525966956,"['SFFF', 'FFFF', 'FHFH', 'FFFG']"
1,75,0,1.0,0.985089730404757,"['SHHF', 'FHHF', 'FFHH', 'FFFG']"
1,79,0,1.0,0.9704017769489168,"['SFFF', 'HFFF', 'HFHF', 'HFHG']"
1,41,0,1.0,0.860513950810667,"['SHHH', 'FFFF', 'FFFF', 'HFHG']"
1,60,0,1.0,0.9588092525966956,"['SFFH', 'HHFH', 'FFFH', 'FHFG']"
1,21,0,0.0,0.0,"['SFFH', 'HFHF', 'FFFH', 'FHFG']"
1,18,0,0.0,0.0,"['SHFF', 'FFHF', 'FFFF', 'HHHG']"
1,57,0,1.0,0.9588092525966956,"['SFHF', 'HFHF', 'HFFH', 'FFFG']"
1,6,0,0.0,0.0,"['SFFF', 'HFFF', 'FFFH', 'HHFG']"
1,64,0,1.0,0.9645880999032158,"['SFFF', 'HFFH', 'HFFH', 'FHFG']"
1,13,0,0.0,0.0,"['SHFF', 'FHFF', 'FHHH', 'FFFG']"
1,46,0,1.0,0.9502058312852957,"['SFHF', 'FFHH', 'FHHH', 'FFFG']"
1,3,0,1.0,0.9193151828650342,"['SFFF', 'FHFF', 'HHHF', 'FHFG']"
1,11,0,0.0,0.0,"['SHHH', 'FHHH', 'FFHF', 'FFFG']"
1,68,0,1.0,0.985089730404757,"['SFFH', 'HFFH', 'FHFF', 'HFFG']"
1,54,0,1.0,0.9645880999032158,"['SFFF', 'FFFH', 'HHFF', 'HHHG']"
1,60,0,1.0,0.9193151828650342,"['SFHH', 'FHHF', 'FFFF', 'FFHG']"
1,81,0,1.0,0.7699788094052729,"['SFHH', 'FHFF', 'FFFH', 'HHFG']"
1,29,0,1.0,0.8103284404851119,"['SHFH', 'FHHF', 'FHFH', 'FFFG']"
1,15,0,1.0,0.8201257512162927,"['SFHF', 'FFFF', 'HHFF', 'HFFG']"
1,33,0,1.0,0.8814479033836181,"['SFFF', 'FHFF', 'FHHH', 'FFFG']"
1,63,0,1.0,0.9821344612135428,"['SFFF', 'FFHF', 'HFHF', 'HFFG']"
1,58,0,1.0,0.9110661429076764,"['SFHF', 'HFFH', 'HHFH', 'FFFG']"
1,37,0,1.0,0.9762504936564125,"['SFHH', 'HFHH', 'FFHF', 'FFFG']"
1,40,0,1.0,0.9445131481500655,"['SFFF', 'FHFH', 'HHFF', 'FFFG']"
1,76,0,1.0,0.9791880578299021,"['SFHH', 'FHFH', 'FFFH', 'FFFG']"
1,57,0,1.0,0.8921050870283477,"['SFFF', 'HHFF', 'FHFH', 'HHFG']"
1,90,0,1.0,0.9762504936564125,"['SFHH', 'HFFF', 'HHFF', 'FHFG']"
1,72,0,0.0,0.0,"['SFFH', 'FHHF', 'FFFF', 'HFHG']"
1,91,0,1.0,0.985089730404757,"['SFHF', 'HFFH', 'FFFF', 'HFFG']"
1,64,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'FHFH', 'FFFG']"
1,59,0,1.0,0.9530650263643888,"['SFFH', 'HFFH', 'HFFH', 'HHFG']"
1,83,0,1.0,0.9821344612135428,"['SFHF', 'FFFH', 'FFFF', 'HHHG']"
1,44,0,1.0,0.8761671489944468,"['SFHH', 'FFHH', 'HFFF', 'FHFG']"
1,42,0,1.0,0.9674905716180701,"['SHFF', 'FFFF', 'HHFF', 'FFFG']"
1,89,0,1.0,0.9821344612135428,"['SFFH', 'HFFH', 'FFFF', 'FFFG']"
1,34,0,1.0,0.9674905716180701,"['SFFF', 'FHHH', 'FFHF', 'FFFG']"
1,71,0,0.0,0.0,"['SHFF', 'FFHH', 'HFFF', 'FHHG']"
1,31,0,1.0,0.93603800616986,"['SFFF', 'HHHF', 'FFFF', 'HFFG']"
1,98,0,1.0,0.9674905716180701,"['SFFF', 'FFHF', 'FHHF', 'HFHG']"
1,84,0,1.0,0.9645880999032158,"['SFFF', 'FHFH', 'HHFF', 'FHFG']"
1,85,0,0.0,0.0,"['SHFF', 'FFHH', 'HFHF', 'HFFG']"
1,100,0,1.0,0.9138075656044898,"['SHFH', 'FFFF', 'FHFH', 'HFFG']"
1,62,0,1.0,0.9674905716180701,"['SFFF', 'FHFF', 'FHFF', 'HHFG']"
1,20,0,0.0,0.0,"['SFHH', 'FFFH', 'HFHH', 'HFFG']"
1,23,0,1.0,0.8250687380258053,"['SFHF', 'HFFH', 'FHFH', 'HHFG']"
1,88,0,1.0,0.9791880578299021,"['SFFF', 'HHFH', 'HHFF', 'FHHG']"
1,44,0,0.0,0.0,"['SFHF', 'HFFF', 'FHHF', 'FHFG']"
1,58,0,1.0,0.9559328248389055,"['SFHF', 'FFFF', 'HHHF', 'HFHG']"
1,57,0,1.0,0.8631032605924442,"['SFHF', 'HFHF', 'FFHH', 'HFFG']"
1,21,0,1.0,0.9220814271464737,"['SFHH', 'HFHH', 'FFFF', 'HFFG']"
1,87,0,0.0,0.0,"['SHHF', 'FFHH', 'HFFH', 'HHFG']"
1,63,0,1.0,0.9304302024748964,"['SHHH', 'FHFF', 'FFFF', 'HFHG']"
1,85,0,1.0,0.8201257512162927,"['SFHH', 'HFHF', 'FFFH', 'HHFG']"
1,49,0,1.0,0.9473552137914398,"['SFFF', 'FHHF', 'FFFF', 'FHHG']"
1,5,0,0.0,0.0,"['SFFH', 'FHFH', 'FHHF', 'FFFG']"
1,24,0,1.0,0.9445131481500655,"['SFFF', 'FHFH', 'FFFF', 'FHFG']"
1,66,0,1.0,0.9821344612135428,"['SHHF', 'FHFF', 'FFFF', 'HFFG']"
1,83,0,1.0,0.9791880578299021,"['SFFH', 'FHFF', 'HHFF', 'HHFG']"
1,56,0,1.0,0.9056079456455165,"['SFHH', 'FFHH', 'FFFF', 'HHFG']"
1,45,0,1.0,0.9502058312852957,"['SFFF', 'HHFF', 'HHHF', 'FHFG']"
1,37,0,1.0,0.9616943356035061,"['SHFF', 'FHFF', 'FFFF', 'FHFG']"
1,96,0,1.0,0.9674905716180701,"['SFFH', 'HHFH', 'FFFF', 'FFFG']"
1,29,0,1.0,0.8867604854519608,"['SFHF', 'FHFH', 'FFFF', 'HFFG']"
1,14,0,0.0,0.0,"['SHHF', 'FHFF', 'FHHF', 'FFFG']"
1,12,0,1.0,0.9110661429076764,"['SFFH', 'HFFH', 'FFFF', 'FHFG']"
1,33,0,1.0,0.9645880999032158,"['SFFH', 'FHFF', 'HHFF', 'FHHG']"
1,55,0,1.0,0.9416796087056153,"['SFHF', 'FFHH', 'HFHH', 'FFFG']"
1,19,0,1.0,0.7958514863018556,"['SFFF', 'HHFH', 'FFFH', 'FHFG']"
1,22,0,0.0,0.0,"['SHHH', 'FFFH', 'HFHH', 'FFFG']"
1,32,0,0.0,0.0,"['SHFF', 'FHFH', 'FFFF', 'HHFG']"
1,11,0,0.0,0.0,"['SFFH', 'HFHH', 'HFFF', 'FHFG']"
1,45,0,1.0,0.9791880578299021,"['SFFF', 'FFHF', 'FHFF', 'HFFG']"
1,63,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFH', 'HHFG']"
1,39,0,1.0,0.9704017769489168,"['SHHF', 'FFHF', 'FFFH', 'FFFG']"
1,95,0,1.0,0.8631032605924442,"['SHHF', 'FFFF', 'HHHF', 'FHHG']"
1,94,0,1.0,0.9530650263643888,"['SHFH', 'FFFF', 'HFFF', 'HHFG']"
1,71,0,1.0,0.90289112180858,"['SFFH', 'HHFF', 'HHFH', 'FHFG']"
1,54,0,1.0,0.9193151828650342,"['SHFF', 'FFFF', 'FFHF', 'HHFG']"
1,36,0,1.0,0.8657003616774767,"['SFFF', 'HFFF', 'FFHH', 'HFFG']"
1,14,0,1.0,0.9645880999032158,"['SFHF', 'FFFF', 'HFFF', 'HHHG']"
1,13,0,1.0,0.8788035596734672,"['SFFH', 'HFFF', 'HHFF', 'FFHG']"
1,3,0,0.0,0.0,"['SFFH', 'FHFH', 'HFFF', 'FFFG']"
1,58,0,1.0,0.9704017769489168,"['SFFH', 'FHFF', 'FFHF', 'FFFG']"
1,81,0,1.0,0.9645880999032158,"['SHHH', 'FFHF', 'HFFH', 'HFFG']"
1,74,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FHFF', 'FHFG']"
1,53,0,1.0,0.9616943356035061,"['SHFH', 'FFFF', 'HFFH', 'FFFG']"
1,89,0,1.0,0.985089730404757,"['SHFH', 'FFFH', 'FFFF', 'HHFG']"
1,38,0,0.0,0.0,"['SHHF', 'FFFH', 'FHFF', 'HFFG']"
1,61,0,1.0,0.8788035596734672,"['SHFF', 'FHHF', 'FFFF', 'HFHG']"
1,12,0,0.0,0.0,"['SFHF', 'FFFH', 'FHFH', 'HHFG']"
1,6,0,0.0,0.0,"['SHFH', 'FFFF', 'HFFF', 'FHHG']"
1,61,0,1.0,0.9276389118674717,"['SFFF', 'HHFH', 'FFFF', 'FFHG']"
1,24,0,0.0,0.0,"['SHHH', 'FFFF', 'HHFF', 'FHHG']"
1,91,0,1.0,0.985089730404757,"['SFHF', 'FFFF', 'FFFF', 'FFHG']"
1,97,0,1.0,0.9733217421754432,"['SHFF', 'FFFH', 'FFFF', 'HHHG']"
1,50,0,1.0,0.8761671489944468,"['SFHF', 'FHHH', 'FFHH', 'HFFG']"
1,31,0,1.0,0.9248559951318693,"['SFFF', 'FFFF', 'HFFH', 'FFFG']"
1,18,0,0.0,0.0,"['SFHH', 'FHHH', 'FFHF', 'HFFG']"
1,13,0,0.0,0.0,"['SFFF', 'HHFH', 'FHFF', 'FFHG']"
1,96,0,1.0,0.9791880578299021,"['SFFF', 'FHFH', 'HFFF', 'HHHG']"
1,35,0,0.0,0.0,"['SHHH', 'FFHF', 'HFHF', 'HFFG']"
1,6,0,0.0,0.0,"['SFHF', 'HFFH', 'HFFF', 'FHHG']"
1,9,0,0.0,0.0,"['SFHH', 'HFFH', 'FHFF', 'FHFG']"
1,21,0,0.0,0.0,"['SHFH', 'FFFF', 'HFHF', 'HHFG']"
1,20,0,1.0,0.90289112180858,"['SFFH', 'HHFF', 'FHFF', 'HHHG']"
1,61,0,1.0,0.9473552137914398,"['SFFH', 'FFHH', 'FHFH', 'FFFG']"
1,14,0,0.0,0.0,"['SFFH', 'FHFH', 'HHFF', 'HFHG']"
1,44,0,1.0,0.9704017769489168,"['SFFH', 'FHFH', 'FFFF', 'HFFG']"
1,92,0,1.0,0.9530650263643888,"['SFFH', 'FHFF', 'FFHF', 'HFHG']"
1,84,0,1.0,0.9791880578299021,"['SFFF', 'HHHF', 'FHFF', 'HFFG']"
1,49,0,1.0,0.8553586117313603,"['SFFF', 'HHFF', 'HFFH', 'FFFG']"
1,3,0,0.0,0.0,"['SFFH', 'FFFH', 'FHFH', 'FFFG']"
1,35,0,0.0,0.0,"['SFHF', 'FFHF', 'FFFH', 'FHFG']"
1,27,0,1.0,0.9001824484431542,"['SFHH', 'HFFF', 'HHFF', 'FHHG']"
1,46,0,1.0,0.9762504936564125,"['SFFF', 'HFFF', 'HHFF', 'HHFG']"
1,2,0,0.0,0.0,"['SHFF', 'FFFH', 'HFFF', 'HHFG']"
1,25,0,1.0,0.9791880578299021,"['SFFF', 'HFFF', 'HFFF', 'FFHG']"
1,10,0,1.0,0.7746195551602378,"['SFHH', 'HFFF', 'FFFF', 'HHHG']"
1,53,0,1.0,0.9559328248389055,"['SFFH', 'HHFF', 'FFFF', 'FFHG']"
1,17,0,1.0,0.9220814271464737,"['SFFF', 'FFFF', 'FFHF', 'FHFG']"
1,66,0,1.0,0.9791880578299021,"['SFFH', 'FFFF', 'HFFF', 'FFHG']"
1,78,0,1.0,0.9110661429076764,"['SFFH', 'FFHF', 'HFFF', 'HFFG']"
1,92,0,1.0,0.9791880578299021,"['SFHF', 'FFFH', 'FFFF', 'FFFG']"
1,60,0,1.0,0.9704017769489168,"['SFFH', 'FFFF', 'HHHF', 'FHHG']"
1,44,0,1.0,0.9791880578299021,"['SHFH', 'FFHH', 'FFFF', 'FFFG']"
1,94,0,1.0,0.9674905716180701,"['SFFH', 'FFFF', 'HFFH', 'FHFG']"
1,27,0,0.0,0.0,"['SHHF', 'FFHH', 'HFHH', 'HFFG']"
1,69,0,1.0,0.9674905716180701,"['SFHF', 'FHHH', 'FFFF', 'FFFG']"
1,74,0,1.0,0.9588092525966956,"['SFFF', 'HFFH', 'FHFF', 'HHHG']"
1,91,0,1.0,0.9821344612135428,"['SFFF', 'FFFH', 'FFFF', 'HHHG']"
1,41,0,1.0,0.8683052775100066,"['SFHF', 'HFFF', 'HFHH', 'FFFG']"
1,74,0,1.0,0.9762504936564125,"['SFFH', 'FFFH', 'HFFF', 'HFHG']"
1,21,0,0.0,0.0,"['SFHH', 'FFHH', 'HFHH', 'FFFG']"
1,62,0,0.0,0.0,"['SHFH', 'FFFF', 'FHHF', 'FFHG']"
1,20,0,0.0,0.0,"['SHFH', 'FFFH', 'FFFH', 'FFFG']"
1,96,0,1.0,0.9821344612135428,"['SHFF', 'FFFF', 'FHFF', 'HHFG']"
1,97,0,1.0,0.9645880999032158,"['SFHH', 'FFHH', 'HFFF', 'HFHG']"
1,90,0,1.0,0.9276389118674717,"['SFFF', 'FHHF', 'FFFH', 'HHFG']"
1,81,0,1.0,0.985089730404757,"['SFHH', 'HFFF', 'FFFF', 'HHFG']"
1,65,0,1.0,0.985089730404757,"['SHFF', 'FFFF', 'FFFF', 'FFFG']"
1,75,0,1.0,0.9616943356035061,"['SFHH', 'FFFF', 'FHHF', 'HHFG']"
